Concelho,Datahora,M,FG,Via,km,Natureza
P. Lanhoso,2010-12-06 23:35,2,0,"EN10355,700",Desp. c/col. c/veíc. imobil./obst.
T. Bouro,2010-02-07 17:45,0,1,AV RIO HOMEM,Colisão lat. c/outro veíc. mov.
T. Bouro,2010-06-30 20:00,0,1,AV 20 DE OUTUBRO,Desp. c/col. c/veíc. imobil./obst.
V. N. Famalicão,2010-01-01 07:30,1,3,Av. S. Tiago de Gavião,Despiste c/capotamento
V. N. Famalicão,2010-01-08 11:30,0,1,"EN20442,070",Atropelamento de peões
,,,,Av. Pe. Manuel Salaza
V. N. Famalicão,2010-01-18 18:00,0,1,Silva,Atropelamento de peões
V. N. Famalicão,2010-02-11 08:30,0,1,"A719,400",Despiste c/capotamento
V. N. Famalicão,2010-04-02 11:15,0,1,"A333,680",Despiste s/dispositivo de retenção
V. N. Famalicão,2010-04-09 12:15,1,0,"EN3095,820",Colisão frontal
V. N. Famalicão,2010-05-25 15:30,1,0,"EN20441,700",Colisão frontal
V. N. Famalicão,2010-06-01 16:10,0,1,EN206,Atropelamento de peões
V. N. Famalicão,2010-06-08 19:30,2,0,"A334,400",Despiste simples
V. N. Famalicão,2010-06-13 22:20,0,1,"EN20626,200",Despiste simples
V. N. Famalicão,2010-07-03 19:30,0,1,AV DAS FIGUEIRAS,Despiste s/dispositivo de retenção
V. N. Famalicão,2010-07-04 03:20,0,1,"A723,700",Despiste c/dispositivo de retenção
V. N. Famalicão,2010-07-06 16:30,0,1,"A327,700",Despiste c/capotamento
V. N. Famalicão,2010-07-10 21:00,1,0,AV S VICENTE,Despiste s/dispositivo de retenção
V. N. Famalicão,2010-07-18 08:00,0,1,"EN1436,000",Colisão frontal
V. N. Famalicão,2010-07-27 15:05,1,2,"A336,728",Colisão c/veic./obst.f. de rodagem
V. N. Famalicão,2010-08-07 17:00,0,1,"EN20618,350",Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2010-08-10 20:30,0,1,EN204-5,Despiste simples
V. N. Famalicão,2010-10-26 11:30,0,1,EN204-5,Colisão c/outras situações
,,,,R. Joaquim José Sous
V. N. Famalicão,2010-10-27 15:30,0,1,Guimarães,Colisão lat. c/outro veíc. mov.
,,,,R. Adolfo Casai
V. N. Famalicão,2010-11-05 11:15,1,0,Monteiro,Atropelamento de peões
V. N. Famalicão,2010-11-08 21:15,0,1,Rua Alberto Sampaio,Despiste s/dispositivo de retenção
V. N. Famalicão,2010-11-18 11:30,0,1,"EN30919,500",Colisão frontal
