Concelho,Datahora,M,FG,Via,km,Natureza
Concelho,DataHora,M*,FG*,Via,Km,Natureza
Sintra,2009-08-20 20:05,1,0,IC1
Sintra,2009-04-05 17:55,0,1,Rua Dona Inês de Castro 1
Sintra,2009-02-21 15:30,0,1,EN250-1,"8,100"
Sintra,2009-02-02 07:00,1,0,R DOS COVOE
Sintra,2009-03-20 13:45,0,1,EN117,"9,700"
Sintra,2009-05-04 00:50,0,1,A9,"4,000"
Sintra,2009-05-12 03:40,0,1,IC30,"1,000"
Sintra,2009-05-26 19:25,0,1,EN247,"71,100"
Sintra,2009-03-12 02:00,0,1,EN9,"9,200"
Sintra,2009-03-14 01:45,0,1,AV 29 AGOST
Sintra,2009-06-18 15:45,0,1,R NOSSA SRA CONSOLAÇÃ
Sintra,2009-06-04 22:52,0,1,R REPUBLICA CORE
Sintra,2009-06-09 10:15,0,1,EN9,"8,500"
Sintra,2009-10-03 05:30,0,1,IC1
Sintra,2009-07-11 12:55,1,1,EN247,"88,742"
Sintra,2009-07-10 19:30,0,1,IC19,"15,400"
Sintra,2009-06-11 04:00,0,1,Rua Máximo da Silva 
Sintra,2009-07-03 10:30,1,0,R GEN. BARNABE A FERREIR
Sintra,2009-01-04 13:45,0,1,IC30,"3,500"
Sintra,2009-07-30 10:45,0,1,AV ATLANTICO COLARES 25
Sintra,2009-06-02 02:30,0,1,Estrada Granja do Marquê
Sintra,2009-11-27 15:15,1,0,IC1
Sintra,2009-06-23 11:20,0,1,Rua de Angol
Sintra,2009-10-01 08:35,0,1,AV LAPIA
Sintra,2009-12-22 11:30,0,1,ALMD FONTE VELHA 5
Sintra,2009-01-31 05:00,0,1,AV SALGUEIRO MAI
Sintra,2009-10-11 06:30,0,2,Rua Sebastião e Silv
Sintra,2009-10-04 02:50,0,2,EN249-
Sintra,2009-10-04 04:00,0,1,Largo de Franco
Sintra,2009-11-12 01:25,0,1,EST ANCO
Sintra,2009-11-17 15:00,0,1,AV NUNES CARVALHO 10
Sintra,2009-11-21 04:00,1,1,EN9,"17,700"
S.Mt Agraço,2009-04-27 16:30,0,2,EN248,"9,620"
T. Vedras,2009-01-13 18:45,0,1,EN8,"52,500"
T. Vedras,2009-11-24 21:00,0,1,EN9,"72,400"
T. Vedras,2009-05-11 08:48,1,2,EN9,"71,700"
T. Vedras,2009-03-02 10:50,1,0,A8,"54,900"
T. Vedras,2009-03-10 18:45,0,1,EN361,"5,000"
T. Vedras,2009-05-24 12:45,2,1,EN9,"63,900"
T. Vedras,2009-03-15 03:45,0,1,R PRINCIPAL 1
T. Vedras,2009-06-30 14:15,1,0,EN9,"62,300"
T. Vedras,2009-06-29 18:30,0,1,EM561-
T. Vedras,2009-06-23 19:50,0,1,R JOSE M TELES BALTAZAR 1
T. Vedras,2009-06-08 00:50,0,1,EN9,"66,100"
T. Vedras,2009-06-09 22:00,0,1,EM64
T. Vedras,2009-09-11 12:20,0,1,EM55
T. Vedras,2009-08-21 15:17,1,0,R RMarques Carvalho / EN115-
T. Vedras,2009-07-01 01:00,0,1,A8,"39,500"
T. Vedras,2009-09-19 08:15,1,0,EM554-
T. Vedras,2009-07-24 06:45,0,2,EN247,"30,500"
T. Vedras,2009-09-26 13:00,0,1,R RAINHA STA ISABE
T. Vedras,2009-08-19 06:30,0,1,EN247,"19,500"
T. Vedras,2009-10-21 07:10,0,1,EM619-1,"0,500"
T. Vedras,2009-10-25 18:40,0,1,EN8,"50,600"
T. Vedras,2009-10-31 21:40,0,1,EN8-2,"1,300"
T. Vedras,2009-12-04 22:35,0,1,EM105
T. Vedras,2009-11-17 08:10,1,0,EN247,"36,900"
T. Vedras,2009-05-03 18:15,0,2,R PRINCIPA
V. F. de Xira,2009-01-15 13:25,2,2,A1,"23,569"
V. F. de Xira,2009-11-12 22:40,0,1,EN10,"123,000"
V. F. de Xira,2009-01-17 04:00,0,1,EST DA VAL
V. F. de Xira,2009-01-23 18:30,0,1,R 28 SETEMBR
V. F. de Xira,2009-03-01 02:00,0,1,EN10-
V. F. de Xira,2009-03-26 08:15,0,1,EN1
V. F. de Xira,2009-03-08 00:10,0,2,EN10,"134,980"
V. F. de Xira,2009-03-09 21:35,0,1,IC2,"30,340"
V. F. de Xira,2009-03-15 19:10,0,1,A1,"17,100"
V. F. de Xira,2009-09-22 17:55,0,2,EN1
V. F. de Xira,2009-09-27 08:00,0,1,EN1
V. F. de Xira,2009-05-10 22:30,1,0,EN10,"111,800"
V. F. de Xira,2009-05-24 23:00,0,1,Avenida Infante Dom Pedr
V. F. de Xira,2009-07-01 07:10,0,1,R LUIS CAMÕE
V. F. de Xira,2009-09-10 17:00,0,1,EN1
V. F. de Xira,2009-10-11 09:40,0,1,EN
V. F. de Xira,2009-10-13 17:40,0,2,EN10-6,"3,900"
V. F. de Xira,2009-10-21 15:37,0,1,Estrada de Monte Gord
