Lisboa,2006:02:22 23:20:00,0,1,Av.5 Outubro,,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:02:26 19:45:00,0,1,Av.Liberdade,,,Atrop.de peões
Lisboa,2006:02:26 20:50:00,0,1,Av.Rib.Naus/Tva.Campo Santo,,,Colisão frontal
Lisboa,2006:02:28 19:40:00,0,1,Av.M.Teixeira Rebelo/Av.Uruguai,,,Desp.c/dispositivo de retenção
Lisboa,2006:02:28 19:45:00,0,1,Av.Almirante Reis,,,Atrop.de peões
Lisboa,2006:03:01 11:15:00,1,1,Campo Pequeno,,,Atrop.de peões
Lisboa,2006:03:02 09:30:00,0,2,Av.Alm Reis/R.Angola,Atrop.de peões
Lisboa,2006:03:02 23:55:00,0,1,Estr.Militar,Colisão frontal
Lisboa,2006:03:04 06:50:00,0,1,Eixo N/S,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:03:06 10:46:00,0,1,Av.Liberdade,Atrop.de peões
Lisboa,2006:03:06 11:00:00,0,1,R.Morais Soares,Col.lat.c/outro veíc.em mov.
Concelho,Datahora,M,FG,Via,km,Natureza
Lisboa,2006:03:06 17:30:00,0,1,Av.24 Julho/cais sodre,,Atrop.de peões
Lisboa,2006:03:07 19:00:00,0,1,Pç.Principe Real,,Despiste simples
Lisboa,2006:03:08 14:50:00,0,1,Av.Inf.D.Henriuqe,,Colisão frontal
Lisboa,2006:03:10 23:40:00,0,1,Av.Carlos Pinhão,,Colisão frontal
Lisboa,2006:03:12 00:50:00,2,0,Av.India/R.Fernão M.Pinto,,Despiste simples
Lisboa,2006:03:14 16:00:00,0,1,R.Qta.Loureiro,,Colisão com outras situações
Lisboa,2006:03:16 16:30:00,0,1,R.de Belém,,Col.tras.c/outro veíc.em mov.
Lisboa,2006:03:19 08:10:00,0,1,Av.Gen.Norton Matos,,Desp.c/dispositivo de retenção
Lisboa,2006:03:23 21:45:00,0,1,Eixo N/S,,Desp.c/transp.do disp.de ret.lat.
Lisboa,2006:03:26 14:40:00,0,1,R.Virgilio Ferreira,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:03:28 19:15:00,0,1,Av.Alm.Reis,,Atrop.de peões
Lisboa,2006:04:01 07:46:00,0,1,Av.Almirante Reis,,Col.c/veic.ou obst.na f.de rod.
Lisboa,2006:04:01 11:00:00,0,1,R.Quirino Fonseca,,Atropelamento com fuga
Lisboa,2006:04:03 10:35:00,0,1,Av.Roma/Av.E.U.A.,,Atrop.de peões
Lisboa,2006:04:03 22:10:00,0,1,Av.Alexandre Herculano/Lg.Rato,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:04:05 08:35:00,1,0,Av.Alexandre Herculano/Lg.Rato,,Atrop.de peões
Lisboa,2006:04:05 10:50:00,0,1,Av.João XXI,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:04:06 00:05:00,0,1,Est.Lumiar,,Desp.c/col.c/ veíc.imob.ou obst.
Lisboa,2006:04:09 06:16:00,0,1,Av.Inf D.Henrique,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:04:09 14:05:00,0,1,Av.Inf D.Henrique,,Col.lat.c/outro veíc.em mov.
Lisboa,2006:04:10 08:30:00,0,1,Av.Lusiada,,Atrop.de peões
Lisboa,2006:04:10 15:15:00,0,1,Pça.David Leandro Silva,,Col.c/veic.ou obst.na f.de rod.
