Concelho,Datahora,M,FG,Via,km,Natureza
Santo Tirso,2009:05:03 16:30:00,0,1,EN105,"27,200",Colisão frontal
Santo Tirso,2009:05:16 23:00:00,0,1,Rua Fontiscos,,Atropelamento de peões
Santo Tirso,2009:06:19 16:10:00,0,1,R OLIVEIRAS,,Colisão frontal
Santo Tirso,2009:06:29 13:45:00,0,1,ROT TIMOR LOROSAE,Colisão lat. c/outro veíc. mov.
,,,,Rua Padre Luís Gonzag
Santo Tirso,2009:11:08 15:45:00,1,0,,Colisão tras. c/ outro veíc. mov.
,,,,Pinheir
Santo Tirso,2009:09:19 09:45:00,0,1,"EN10529,710",Colisão frontal
Santo Tirso,2009:09:25 22:15:00,0,1,Avenida Unisco Godiniz,Colisão tras. c/ outro veíc. mov.
Santo Tirso,2009:03:16 13:00:00,0,1,Rua Padre José Maria Alves,Colisão com outras situações
Santo Tirso,2009:03:25 08:00:00,0,1,R CASAL,Colisão frontal
Santo Tirso,2009:01:16 18:50:00,2,1,ACC-A41,Colisão frontal
Santo Tirso,2009:11:27 18:35:00,0,2,"EN10515,500",Colisão frontal
Santo Tirso,2009:10:28 15:15:00,0,1,Rua Fontiscos,Atropelamento de peões
Santo Tirso,2009:07:13 22:00:00,1,0,,Despiste simples
Trofa,2009:02:09 01:45:00,1,0,"A317,390",Desp. c/transp.disp. ret. lateral
Trofa,2009:12:16 23:50:00,0,1,R D PEDRO,Atropelamento de peões
Trofa,2009:11:25 10:10:00,0,1,"A316,800",Despiste c/ disp. retenção
,,,,R GENERAL HUMBERT
Trofa,2009:01:25 20:30:00,0,1,,Atropelamento de peões
,,,,DELGAD
Trofa,2009:01:01 17:30:00,0,1,R D PEDRO V,Atropelamento de peões
Trofa,2009:11:09 07:30:00,1,0,R 25 ABRIL,Atropelamento de peões
Trofa,2009:06:05 10:15:00,0,1,"A319,125",Colisão tras. c/ outro veíc. mov.
Trofa,2009:11:17 06:00:00,1,1,R INFANTE D HENRIQUE,Atropelamento de peões
Trofa,2009:07:17 08:00:00,2,0,"A318,575",Despiste c/ disp. retenção
Valongo,2009:10:05 03:10:00,1,0,"EN1516,665",Despiste simples
Valongo,2009:12:12 08:15:00,0,1,"A415,100",Despiste com capotamento
Valongo,2009:09:24 06:45:00,0,1,Rua Alves Saldanha,Atropelamento de peões
Valongo,2009:05:17 05:50:00,1,0,PQ ELECLERC,Atropelamento de peões
Valongo,2009:12:19 16:05:00,0,1,"A420,380",Desp. c/transp.disp. ret. lateral
Valongo,2009:08:21 18:15:00,0,1,"A420,400",Despiste com capotamento
Valongo,2009:08:22 04:30:00,0,1,"EN1059,370",Colisão tras. c/ outro veíc. mov.
Valongo,2009:02:22 11:50:00,0,1,Rua Rodrigues de Freitas,Atropelamento de peões
Valongo,2009:06:13 18:30:00,0,1,"EN20917,340",Colisão lat. c/outro veíc. mov.
Valongo,2009:02:05 16:40:00,0,1,"EN20918,000",Colisão frontal
Vila do Conde,2009:09:24 15:15:00,0,1,R LAGOA,Colisão lat. c/outro veíc. mov.
Vila do Conde,2009:04:30 16:00:00,0,1,R ALBINO MOREIRA,Despiste simples
Vila do Conde,2009:12:27 07:00:00,0,1,R 5 OUTUBRO,Colisão lat. c/outro veíc. mov.
Vila do Conde,2009:09:12 12:30:00,0,2,R LAVANDEIRA,Colisão frontal
Vila do Conde,2009:07:03 16:45:00,0,1,R JOUDINA,Colisão lat. c/outro veíc. mov.
Vila do Conde,2009:05:01 07:30:00,0,1,"EN30683,400",Despiste simples
Vila do Conde,2009:11:18 00:20:00,0,1,Rua 5 de Outubro,Atropelamento de peões
Vila do Conde,2009:12:21 15:00:00,1,0,"A2820,800",Colisão c/veic./obstá. f. rodagem
Vila do Conde,2009:08:08 04:20:00,0,1,R 5 OUTUBRO,Colisão frontal
Vila do Conde,2009:03:29 12:45:00,0,1,Rua Bartolomeu Dias,Atropelamento com fuga
Vila do Conde,2009:02:06 02:20:00,0,1,EN13,Atropelamento de peões
,,,,Avenida Infante Do
Vila do Conde,2009:02:21 02:15:00,0,1,,Despiste c/col. c/veíc. imobil./obst.
,,,,Henriqu
