Concelho,Datahora,M,FG,Via,km,Natureza
Anadia,2012:06:01 20:30:00,1,0,R PRINCIPAL,,Despiste com capotamento
Anadia,2012:08:01 09:10:00,1,0,EN1,"223,510",Colisão com outras situações
Anadia,2012:09:19 10:20:00,1,0,Rua dos Plátanos,,Colisão c/veic./obstáculo f.rodagem
Anadia,2012:11:24 18:20:00,0,1,Rua das Coutadas,,Atropelamento de peões
Arouca,2012:02:05 18:10:00,1,0,EN225,"26,000",Colisão frontal
Arouca,2012:03:23 13:30:00,1,0,Av. Araújo e Silva (fte no87),,Colisão lat. c/outro veíc. mov.
Arouca,2012:08:29 17:10:00,0,1,Estrada Municipal,,Despiste com capotamento
Arouca,2012:12:20 20:00:00,0,1,Estrada Municipal,,Despiste simples
Aveiro,2012:01:09 20:40:00,1,0,R DA JUNQUEIRA,,Atropelamento de peões
Aveiro,2012:02:04 15:30:00,0,2,R DA INDUSTRIA,,Despiste c/ dispositivo de retenção
Aveiro,2012:02:10 05:35:00,0,1,Avenida 25 de Abril,,De  s  p  i s t ec  /  c  o  l .c  /  v e  í c  .  i mo  b il./obst.
Aveiro,2012:03:06 19:25:00,0,1,R DA RESIDENCIA,,Colisão tras. c/ outro veíc. mov.
Aveiro,2012:03:12 17:40:00,0,1,Rua Santo,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Aveiro,2012:03:25 20:28:00,0,1,EN235,"7,050",Colisão frontal
Aveiro,2012:05:15 19:00:00,0,1,Av. Central,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  es
Aveiro,2012:05:26 22:44:00,0,1,R. Dta.Quinta do Picado,,Despiste s/ dispositivo de retenção
Aveiro,2012:08:03 16:15:00,0,1,R. N. S. Necessidades,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Aveiro,2012:09:06 18:35:00,0,1,R. Prof. Justo Ferreira Dias,,Despiste c/ col. c/ veíc. imobil./obst.
Aveiro,2012:09:10 19:15:00,0,1,Rua Dom Sancho I,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
