Concelho,Datahora,M,FG,Via,km,Natureza
Trofa,2012:10:19 09:38:00,1,0,Rua 16 de Maio,,,Colisão frontal
Valongo,2012:03:05 18:10:00,0,1,EN209,,"18,900",Despiste c/col. c/veíc. imobil./obst
Valongo,2012:03:18 13:35:00,0,1,Rua João de Deus,,,C  o  l i s  ã  ol a  t .  c /o  u t r  ov e  í c  .  mo  v .
Valongo,2012:03:31 09:55:00,0,1,A41,,"17,700",Despiste c/trans. disp.ret. lateral
Valongo,2012:04:10 20:05:00,1,0,EN209,,"18,620",Despiste simples
Valongo,2012:04:18 00:20:00,0,1,A4,,"13,250",Despiste c/trans. disp.ret. lateral
Valongo,2012:05:24 20:50:00,1,0,A4,,"13,100",Despiste c/ dispositivo de retenção
Valongo,2012:06:08 00:15:00,0,1,R. Ribeiro Cambado,,,De  s p  i s  t es  /  d  i s p  o  s  i t i v  od  er e  t enção
Valongo,2012:09:08 21:15:00,1,0,Av. Eng. Duarte Pacheco,,,Colisão frontal
Valongo,2012:09:12 23:00:00,1,0,R. E. J. Reis Figueira,,,Atropelamento de peões
Valongo,2012:10:09 15:50:00,1,0,Via do Lombelho,,,Colisão frontal
Valongo,2012:10:23 05:45:00,0,1,A41,,"15,950",Despiste c/ dispositivo de retenção
Valongo,2012:11:10 12:45:00,0,1,A4,,"13,225",Despiste c/trans. disp.ret. lateral
Valongo,2012:12:15 18:51:00,0,1,A4,,"11,425",Colisão c/veic./obstáculo f.rodagem
Vila do Conde,2012:01:22 12:30:00,0,1,A28,,"20,650",Despiste c/ dispositivo de retenção
Vila do Conde,2012:02:18 10:50:00,0,1,Rua Alfredo Bastos,,,C  o  l i s  ã  oc o  mo  u  t r  a  s  s  i t u  a  ç  õ  e  s
Vila do Conde,2012:03:03 04:20:00,0,2,Av. Infante Dom Henrique,,,Co  l is  ã  ot r a  s  .  c  /o  u  t r ov  e  í c  .  mov.
Vila do Conde,2012:03:11 01:10:00,0,1,A28,,"20,100",Despiste simples
Vila do Conde,2012:05:25 08:05:00,1,0,Rua 5 de Outubro,,,Co  li s  ã  oc  o  mo  u  t r a  ss  it u  a  ç  õ  e  s
Vila do Conde,2012:07:26 17:30:00,0,1,Rua do Monte,,,Atropelamento de peões
Vila do Conde,2012:09:17 07:00:00,1,0,Rua da Lagoa,,,Despiste simples
Vila do Conde,2012:12:25 15:10:00,1,0,A7,,"6,560",Despiste simples
V. N. de Gaia,2012:01:01 11:20:00,0,1,R. do Corvo,,,Atropelamento com fuga
V. N. de Gaia,2012:01:01 21:00:00,1,1,EN109-2,,"4,600",Colisão lat. c/ outro veíc. mov.
