Concelho,Datahora,M,FG,Via,Km,Natureza
Porto,,31-07-2011 20:25,0,1Avenida Fernão de ...,,-,Despiste com dispositivo de retenção
Porto,,29-07-2011 19:45,0,1Avenida Marechal ...,,-,Atropelamento de peões
Porto,,27-12-2011 20:55,0,1Avenida Marechal ...,,-,Atropelamento de peões
Porto,,06-08-2011 18:55,0,2Avenida Vasco da ...,,-,Atropelamento de peões
Porto,,31-12-2011 10:50,0,1Estrada Exterior da...,,-,Atropelamento de peões
Porto,,22-03-2011 12:20,1,0Rua Amparo 13,,-,Atropelamento de peões
Porto,,02-03-2011 19:05,0,1Rua Antero de Que...,,-,Atropelamento de peões
Porto,,28-02-2011 11:10,0,1Rua Campo Alegre ...,,-,Atropelamento de peões
Porto,,22-09-2011 09:15,0,1Rua Campo Alegre ...,,-,Atropelamento de peões
Porto,,10-08-2011 10:10,0,1Rua da Alegria 2109,,-,Atropelamento de peões
Porto,,03-01-2011 18:40,1,0Rua Diogo Botelho ...,,-,Despiste sem dispositivo de retenção
Porto,,16-02-2011 14:25,1,0Rua Engenheiro Ez...,,-,Colisão com outras situações
Porto,,11-11-2011 15:35,0,1Rua Faria Guimarã...,,-,Colisão com outras situações
Porto,,08-05-2011 07:50,1,1Rua Passos Manuel...,,-,Despiste com colisão com veículo imobil. ...
Porto,,31-12-2011 16:40,0,1Rua Pinto Bessa 151,,-,Colisão com outras situações
Porto,,08-03-2011 22:30,1,0Rua Professor Mot...,,-,Despiste com colisão com veículo imobil. ...
Porto,,09-04-2011 16:10,0,1Rua Restauração 00,,-,Atropelamento de peões
Porto,,28-06-2011 18:45,0,1Rua Sá da Bandeir...,,-,Atropelamento de peões
Porto,,12-02-2011 22:40,0,1Rua Santa Catarina...,,-,Atropelamento de peões
Porto,,31-12-2011 14:10,0,1Rua São Roque da ...,,-,Atropelamento de peões
Porto,,24-05-2011 15:00,0,1Rua São Roque da ...,,-,Despiste com colisão com veículo imobil. ...
Porto,,06-02-2011 13:15,1,0Rua Vale Formoso ...,,-,Colisão lateral com outro veículo em mov...
Porto,,06-04-2011 17:45,0,1Via do Castelo do ...,,-,Atropelamento de peões
Povoa de Varzim,,15-05-2011 00:25,1,0A28,,"33,500",Despiste simples
Povoa de Varzim,,17-04-2011 20:40,1,1A28,,"34,700",Despiste com capotamento
Povoa de Varzim,,17-11-2011 18:00,1,0AV JOSE ANTONIO...,,-,Colisão frontal
Povoa de Varzim,,20-05-2011 22:00,1,0AV STO ANDRE 20,,-,Despiste simples
Povoa de Varzim,,04-04-2011 16:10,1,0Avenida 25 de Abril .,,-,Colisão com outras situações
Povoa de Varzim,,12-06-2011 10:55,0,1Avenida de Nossa ...,,-,Atropelamento de peões
Povoa de Varzim,,07-09-2011 20:30,0,1Avenida dos Desco...,,-,Despiste sem dispositivo de retenção
Povoa de Varzim,,19-08-2011 23:10,0,1Avenida dos Pesca...,,-,Atropelamento de peões
Povoa de Varzim,,11-05-2011 18:30,0,1EN13,,"30,200",Colisão frontal
Povoa de Varzim,,29-10-2011 19:10,0,1EN13,,"35,700",Colisão traseira com outro veículo em m...
Povoa de Varzim,,06-08-2011 21:30,0,1EN13,,"37,700",Atropelamento de peões
Povoa de Varzim,,07-10-2011 19:55,1,0EN206,,"9,150",Colisão lateral com outro veículo em mov...
Povoa de Varzim,,16-05-2011 07:40,0,1R AMORIM DE CIM...,,-,Colisão lateral com outro veículo em mov...
Povoa de Varzim,,29-12-2011 18:30,0,1R DA PRAIA 54,,-,Despiste com colisão com veículo imobil. ...
Povoa de Varzim,,04-01-2011 19:00,1,1RUA ALEXANDRIN...,,-,Colisão frontal
Povoa de Varzim,23-07-2011 23:50,0,1,Rua Almirante Reis .-,Colisão com outras situações
Povoa de Varzim,10-11-2011 08:12,0,1,Rua de São Brás .-,Colisão com outras situações
Povoa de Varzim,07-06-2011 13:45,0,1,Rua José Moreira d...-,Atropelamento de peões
Povoa de Varzim,10-10-2011 12:55,0,1,Rua José Moreira d...-,Despiste simples
