Concelho Datahora M* FG* Via,Km,Natureza
Amarante 2006:02:18 01:40:00 1 0 EN210,"30,000",Desp.c/transp.do disp.de ret.lat.
Amarante 2006:02:19 14:50:00 0 1 Estrada Municipal,,Col.tras.c/outro veíc.em mov.
Amarante 2006:03:18 19:45:00 0 1 Av. Gen.Vitorino Laranjeira,,Atrop.de peões
Amarante 2006:04:11 17:00:00 1 0 Estrada Municipal,,Despiste simples
Amarante 2006:04:14 12:00:00 0 1 EN211-1,"0,005",Col.lat.c/outro veíc.em mov.
Amarante 2006:07:18 17:00:00 1 3 S. Gonçalo,,Desp.c/capotamento
Amarante 2006:07:19 19:00:00 1 1 EN101,"142,430",Colisão frontal
Amarante 2006:08:05 17:15:00 0 1 R. Igreja,,Col.tras.c/outro veíc.em mov.
Amarante 2006:08:12 15:00:00 1 0 Estrada Municipal,,Desp.s/disposi.de ret.
Amarante 2006:08:27 21:30:00 0 2 Var-Tamega,,Atrop.de peões
Amarante 2006:09:01 23:30:00 0 1 Av. Agua Nova,,Atrop.de peões
Amarante 2006:09:08 14:00:00 0 1 Estrada Municipal,,Col.c/veic.ou obst.na fxa. de rod.
Paços de Ferreira,2006:01:23 10:50:00,0,1,A42,,"2,725",Col.tras.c/outro veíc.em mov.
Paços de Ferreira,2006:02:26 16:35:00,0,1,Av. XX Maio,,,Col.lat.c/outro veíc.em mov.
Paços de Ferreira,2006:05:21 03:00:00,0,7,Av. Liberdade,,,Colisão frontal
Paços de Ferreira,2006:08:05 11:15:00,0,1,A42,"8,100",Colisão frontal
Paços de Ferreira,2006:08:28 18:00:00,0,2,R. Fonte Madeiros,,Colisão frontal
Paços de Ferreira,2006:09:10 00:10:00,0,1,R. Antonio Pereira Costa,,Desp.s/disposi.de ret.
Paços de Ferreira,2006:09:10 00:10:00,0,1,R. Antonio Pereira Costa,,Desp.s/disposi.de ret.
Paços de Ferreira,2006:09:27 16:40:00,0,1,A42,"9,000",Despiste simples
Concelho,Datahora,M,FG,Via,km,Natureza
Paços de Ferreira,2006:10:01 20:50:00,0,1,R. S. Domingos,,Col.lat.c/outro veíc.em mov.
Paços de Ferreira,2006:10:06 03:00:00,0,1,R. Dr. Francisco Sa Carneiro,,Desp.c/col.c/veíc.imobil.ou obst.
Paços de Ferreira,2006:10:07 11:40:00,0,1,R Além Rio,,Colisão frontal
Paços de Ferreira,2006:12:25 02:20:00,0,1,Av. S. Domingos,,Colisão frontal
Paços de Ferreira,2006:12:25 18:20:00,1,0,Lg Co,,Col.lat.c/outro veíc.em mov.
Paços de Ferreira,2006:12:29 17:37:00,2,0,A42,"7,600",Col.tras.c/outro veíc.em mov.
Paredes,2006:01:13 21:00:00,0,1,EN15,"24,500",Atrop.de peões
Paredes,2006:01:15 17:30:00,0,2,EN319-2,"1,800",Atrop.de peões
Paredes,2006:02:06 06:30:00,0,1,EN15,"12,900",Col.c/veic.ou obst.na fxa. de rod.
Paredes,2006:04:09 01:55:00,0,1,EN209,"23,800",Despiste simples
Paredes,2006:05:10 19:00:00,0,1,Av. Central,,Col.lat.c/outro veíc.em mov.
Paredes,2006:05:18 11:35:00,1,1,Av. Antonio  Beato Lopes,,Colisão frontal
Paredes,2006:06:01 21:30:00,0,1,R. Dr. G. Pereira Leite,,Desp.c/col.c/veíc.imobil.ou obst.
Paredes,2006:06:14 19:45:00,0,1,EN15,"25,200",Atrop.de peões
Paredes,2006:07:09 14:40:00,0,2,Pça. Francisco Sa Carneiro,,Atrop.de peões
Paredes,2006:07:11 11:50:00,0,1,R Barreto,,Atrop.de peões
Paredes,2006:07:29 00:15:00,1,1,EN15,"12,800",Col.lat.c/outro veíc.em mov.
Paredes,2006:08:09 18:15:00,1,0,Av. S. Tome,,Despiste simples
Paredes,2006:08:13 16:35:00,1,0,A4,"30,600",Desp.c/capotamento
Paredes,2006:10:13 15:15:00,0,1,R. Cap. Laurinda Vasconcelos,,Colisão frontal
Paredes,2006:11:26 08:20:00,0,1,A42,"0,600",Despiste simples
Paredes,2006:11:29 13:10:00,0,1,EN209,"25,900",Col.lat.c/outro veíc.em mov.
Paredes,2006:12:30 05:50:00,0,1,EN319,"28,930",Despiste simples
Penafiel,2006:01:06 18:40:00,0,1,EN106,"32,910",Col.lat.c/outro veíc.em mov.
Penafiel,2006:01:29 22:45:00,0,1,EN15,"36,670",Despiste simples
Penafiel,2006:02:08 13:20:00,0,1,EN15,"36,185",Col.lat.c/outro veíc.em mov.
Penafiel,2006:03:03 23:15:00,1,0,A4,"35,680",Col.tras.c/outro veíc.em mov.
Penafiel,2006:03:17 15:00:00,0,1,EN211,"2,145",Colisão frontal
Penafiel,2006:04:08 17:10:00,0,1,EN106,"33,200",Desp.c/col.c/veíc.imobil.ou obst.
Penafiel,2006:04:30 19:10:00,1,1,EN319,"24,900",Despiste simples
Penafiel,2006:06:06 07:35:00,0,1,EN15,"83,855",Col.c/veic.ou obst.na fxa. de rod.
Penafiel,2006:06:14 09:00:00,0,1,Var-Cavalu,,Desp.c/capotamento
Penafiel,2006:07:21 20:45:00,0,3,Estrada Municipal,,Despiste simples
Penafiel,2006:07:29 18:50:00,1,0,EN106-3,"1,150",Atrop.de peões
Penafiel,2006:08:14 17:20:00,0,1,EN106,"32,600",Colisão frontal
Penafiel,2006:11:11 19:30:00,0,1,Av. S. Tome,,Col.c/veic.ou obst.na fxa. de rod.
Penafiel,2006:12:02 07:15:00,0,1,EN106,"83,300",Colisão frontal
Penafiel,2006:12:09 00:25:00,0,1,Bustelo,,Desp.c/capotamento
Penafiel,2006:12:12 15:00:00,0,1,Lugar Igreja,,Col.lat.c/outro veíc.em mov.
Penafiel,2006:12:21 00:20:00,1,0,EN15,"27,760",Despiste simples
Porto,2006:01:05 21:45:00,0,1,Ponte da Arrábida,,Col.tras.c/outro veíc.em mov.
Porto,2006:01:17 19:10:00,0,1,Estr. Ext. Circunvalação,,Atrop.de peões
Porto,2006:01:18 13:20:00,0,2,R. Arneiros,,Colisão frontal
Porto,2006:01:18 19:55:00,1,0,Av. Montevideu,,Atrop.de peões
Porto,2006:01:31 18:23:00,0,1,VCI,,Col.tras.c/outro veíc.em mov.
Porto,2006:02:05 07:40:00,0,1,VCI,,Col.lat.c/outro veíc.em mov.
Porto,2006:02:28 07:15:00,1,0,Estr. Ext. Circunvalação,,Despiste c/disp. de retenção
Porto,2006:03:01 13:00:00,0,1,R. Antonio B. Almeida,,Colisão frontal
Porto,2006:04:11 01:05:00,0,1,Estr. Int. Circunvalação,Col.lat.c/outro veíc.em mov.
Porto,2006:05:12 23:10:00,0,1,R. Freixo,Atrop.de peões
Porto,2006:07:03 09:45:00,0,1,Estr. Ext. Circunvalação,Atrop.de peões
Porto,2006:07:11 02:00:00,0,1,Av. Paiva Couceiro,Atrop.de peões
