Porto,2011:03:02 19:05:00,0,1,R Antero de Quental,,Atropelamento de peões
Porto,2011:03:08 22:30:00,1,0,R Professor Mota Pinto,,Despiste c/col. c/veíc. imobil./obst.
Porto,2011:03:22 12:20:00,1,0,R Amparo,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Porto,2011:04:06 17:45:00,0,1,Via do Castelo do Queijo,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Porto,2011:04:09 16:10:00,0,1,R Restauração,,Atropelamento de peões
Porto,2011:04:22 15:10:00,0,1,A20,"12,600",Colisão com outras situações
Porto,2011:04:23 15:30:00,1,0,R P Correia de Araújo,,Atropelamento de peões
Porto,2011:05:08 07:50:00,1,1,R Passos Manuel,,De  s p  i s  t ec  / c  o  l.  c  / v  e  í c  .  i mo  b  il . /obst.
Porto,2011:05:10 15:30:00,1,0,A28,"1,000",Despiste c/trans. disp.ret. lateral
Porto,2011:05:12 11:25:00,1,0,Av Fernão Magalhães,,Atropelamento de peões
Porto,2011:05:15 19:35:00,1,0,R Pinto Bessa,,Atropelamento de peões
Porto,2011:05:18 09:30:00,0,1,A20,"9,800",Despiste c/ dispositivo de retenção
Porto,2011:05:24 15:00:00,0,1,R São Roque Lameira,,Despiste c/col. c/veíc. imobil./obst.
Porto,2011:06:22 11:35:00,0,1,A20,"15,300",Colisão choque em cadeia
Porto,2011:06:28 18:45:00,0,1,R Sá Bandeira,,Atropelamento de peões
Porto,2011:07:29 19:45:00,1,0,Av Marechal Gomes Costa,,Atropelamento de peões
Porto,2011:07:31 20:25:00,1,0,Av Fernão Magalhães,,Despiste c/ dispositivo de retenção
Porto,2011:08:06 18:55:00,2,0,Av Vasco Gama,,Atropelamento de peões
Porto,2011:08:10 10:10:00,0,1,R Alegria,,Atropelamento de peões
Porto,2011:08:16 11:45:00,1,1,A20,"13,000",Colisão com outras situações
Porto,2011:09:18 12:15:00,0,1,Av Fernão Magalhães,,Atropelamento com fuga
Porto,2011:09:22 09:15:00,1,0,R Campo Alegre,,Atropelamento de peões
Porto,2011:11:11 10:55:00,1,0,A20,"9,000",Despiste simples
Porto,2011:11:11 15:35:00,0,1,R Faria Guimarães,,Colisão com outras situações
Porto,2011:12:16 16:25:00,1,0,Av Dom Afonso Henriques,,Atropelamento de peões
Porto,2011:12:24 21:20:00,0,1,A20,"12,700",Atropelamento de peões
Porto,2011:12:27 20:55:00,0,1,Av Marechal Gomes Costa,,Atropelamento de peões
Porto,2011:12:31 10:50:00,0,1,Est Exterior Circunvalação,,Atropelamento de peões
Porto,2011:12:31 14:10:00,0,1,R São Roque Lameira,,Atropelamento de peões
Porto,2011:12:31 16:40:00,0,1,R Pinto Bessa,,Colisão com outras situações
Póvoa de Varzim,2011:01:04 19:00:00,1,1,R Alexandrina Maria Costa,,Colisão frontal
Póvoa de Varzim,2011:04:04 16:10:00,1,0,Av 25 Abril,,Colisão com outras situações
Póvoa de Varzim,2011:04:17 20:40:00,1,1,A28,"34,700",Despiste c/capotamento
Póvoa de Varzim,2011:05:11 18:30:00,0,1,EN13,"30,200",Colisão frontal
Póvoa de Varzim,2011:05:12 21:35:00,0,1,R São Miguel O Anjo,,Colisão com outras situações
Póvoa de Varzim,2011:05:15 00:25:00,1,0,A28,"33,500",Despiste simples
Póvoa de Varzim,2011:05:16 07:40:00,0,1,R Amorim Cima,,Colisão lat. c/ outro veíc. mov.
Póvoa de Varzim,2011:05:20 22:00:00,1,0,Av Sto André,,Despiste simples
Póvoa de Varzim,2011:06:07 13:45:00,0,1,R José Moreira Amorim,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2011:06:12 10:55:00,0,1,Av Nossa Senhora Neves,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2011:07:23 23:50:00,0,1,R Almirante Reis,,Co  l is  ã  oc  o  mo  u  t r a  ss  i t u  a  ç õ  e s
Póvoa de Varzim,2011:08:06 21:30:00,1,0,EN13,"37,700",Atropelamento de peões
Póvoa de Varzim,2011:08:19 23:10:00,1,0,Av Pescadores,,Atropelamento de peões
Póvoa de Varzim,2011:09:07 20:30:00,0,1,Av Descobrimentos,,De  s p  i s  t es  / d  i s p  o  s  i t i v  od  e  retenção
Póvoa de Varzim,2011:09:12 21:45:00,0,1,R Paulo Barreto,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Póvoa de Varzim,2011:10:07 19:55:00,1,0,EN206,"9,150",Colisão lat. c/ outro veíc. mov.
Póvoa de Varzim,2011:10:10 12:55:00,0,1,R José Moreira Amorim,,De  s  p  i s t es  i mp  l e  s
Póvoa de Varzim,2011:10:29 19:10:00,0,1,EN13,"35,700",Colisão tras. c/ outro veíc. mov.
Póvoa de Varzim,2011:11:10 08:12:00,0,1,R São Brás,,C  o  l i s  ã  oc  o  mo  u  t r a  ss i t u  a ções
Póvoa de Varzim,2011:11:17 18:00:00,1,0,Av Jose A Sousa Ferreira,,Colisão frontal
Póvoa de Varzim,2011:12:29 18:30:00,0,1,R Praia,,Despiste c/col. c/veíc. imobil./obst.
Póvoa de Varzim,2011:12:30 20:15:00,0,1,Via G Humberto Delgado,,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Santo Tirso,2011:01:02 10:30:00,0,1,Av Joao Paulo II,,Colisão frontal
Santo Tirso,2011:05:22 04:01:00,0,1,EN105,"26,700",Colisão frontal
Santo Tirso,2011:06:04 19:50:00,0,4,R Padre L Gonzaga Pinheiro,,Colisão frontal
Santo Tirso,2011:06:09 15:50:00,0,1,R Argemil,,Colisão frontal
Santo Tirso,2011:08:18 17:15:00,0,1,Estrada Florestal,,Despiste c/col. c/veíc. imobil./obst.
Santo Tirso,2011:08:21 19:10:00,1,0,EN105,"26,800",Colisão lat. c/ outro veíc. mov.
Santo Tirso,2011:09:04 05:05:00,0,1,EN105,"14,550",Despiste c/capotamento
Santo Tirso,2011:09:14 08:45:00,0,1,EN105,"13,400",Atropelamento de peões
Santo Tirso,2011:09:25 11:30:00,0,1,R Moinhos,,Despiste simples
Santo Tirso,2011:10:29 20:00:00,0,1,VAR-EN104,"22,500",Colisão frontal
Santo Tirso,2011:11:24 08:35:00,0,1,Av Sousa Cruz,,Atropelamento de peões
Santo Tirso,2011:12:27 00:45:00,0,1,EN105,"25,000",Colisão frontal
Trofa,2011:01:30 14:30:00,1,0,R Outeiral,,Despiste simples
Trofa,2011:04:29 06:00:00,0,1,EN14,"13,700",Colisão frontal
Trofa,2011:06:30 18:00:00,0,1,EN14,"13,050",Colisão frontal
Trofa,2011:08:04 09:00:00,1,0,AV Bicho,,Colisão com outras situações
Trofa,2011:08:21 01:30:00,1,0,R Horizonte,,Atropelamento de peões
Trofa,2011:10:23 16:10:00,0,1,A3,"10,785",Despiste c/capotamento
Trofa,2011:11:06 08:15:00,1,0,R D Pedro V,,Despiste c/capotamento
Valongo,2011:01:02 18:02:00,1,0,A4,"12,130",Colisão choque em cadeia
Valongo,2011:04:21 06:54:00,1,0,A4,"11,254",Despiste c/col. c/veíc. imobil./obst.
Valongo,2011:04:30 09:40:00,0,1,R Central Vinhas,,Colisão lat. c/ outro veíc. mov.
Valongo,2011:06:20 23:45:00,0,1,R Vilar,,Colisão frontal
Valongo,2011:07:29 23:30:00,0,1,Av Eng Duarte Pacheco,,Colisão tras. c/ outro veíc. mov.
Valongo,2011:08:19 17:35:00,0,1,A4,"14,000",Despiste simples
Valongo,2011:12:13 18:35:00,1,0,R D Mário Cal Brandão,,Colisão frontal
Valongo,2011:12:24 18:15:00,1,0,R Vasco Gama,,Atropelamento de peões
Vila do Conde,2011:01:08 02:50:00,1,0,R S Cristóvão,,Despiste c/col. c/veíc. imobil./obst.
Vila do Conde,2011:01:22 13:05:00,0,1,Av Brasil,,C  o  l i s  ã  ola  t .  c  /  o  u  t r o  veíc. mov.
Vila do Conde,2011:02:19 09:15:00,1,0,Av José Régio,,A  t r o  p  e  l a  me  n  t od  ep  e  õ es
Vila do Conde,2011:02:27 22:20:00,0,1,R Violetas,,Co  l i s ã  oc  / v  e  i c  . / o  b  s táculo f.rodagem
Vila do Conde,2011:03:13 18:00:00,0,2,EN104,"7,000",Despiste simples
Vila do Conde,2011:03:19 12:45:00,0,1,Rua D,,A  t r o  p  e  l a  me  n  t od  ep  e  õ es
Vila do Conde,2011:03:20 11:55:00,0,1,EN318,"3,800",Colisão frontal
Vila do Conde,2011:03:24 15:30:00,0,1,Av Liberdade,,Colisão lat. c/ outro veíc. mov.
Vila do Conde,2011:04:23 00:15:00,1,0,EN318,"2,600",Colisão frontal
Vila do Conde,2011:04:23 07:05:00,0,1,R Loureiro,,Despiste simples
Vila do Conde,2011:04:28 18:15:00,0,1,R S Cristóvão,,Colisão tras. c/ outro veíc. mov.
Vila do Conde,2011:05:19 04:30:00,0,1,Rot Fundadores Vila Conde,,De  s  p  i s t ec  / c  o  l .  c  / v e  í c  .  imobil./obst.
Vila do Conde,2011:06:06 13:45:00,0,1,R Agra Longa,,A  t r o  p  e  l a  me  n  t od  ep  e  õ es
Vila do Conde,2011:06:22 00:20:00,1,0,EN206,"6,800",Despiste simples
Vila do Conde,2011:07:23 01:35:00,0,2,EN206,"4,502",Colisão frontal
Vila do Conde,2011:09:30 16:00:00,1,0,EN104,"5,200",Colisão lat. c/ outro veíc. mov.
Vila do Conde,2011:10:09 14:37:00,1,0,R Ponte Ave,,Despiste s/dispositivo de retenção
Vila do Conde,2011:10:25 15:50:00,1,1,EN206,"5,750",Colisão com outras situações
Vila do Conde,2011:12:17 01:00:00,0,1,EN13,"15,400",Despiste c/col. c/veíc. imobil./obst.
Vila N. de Gaia,2011:01:05 07:40:00,0,1,R Rechousa,,Colisão lat. c/ outro veíc. mov.
Vila N. de Gaia,2011:03:13 00:30:00,0,1,A29,"42,100",Despiste c/capotamento
Vila N. de Gaia,2011:03:20 14:08:00,0,1,R Bélgica,,De  s  p  i s t ec  / c  o  l .c  / v e  íc. imobil./obst.
Vila N. de Gaia,2011:03:21 18:45:00,0,1,R S Mamede,,Atropelamento de peões
Vila N. de Gaia,2011:03:26 20:00:00,0,1,R S Mamede,,Colisão lat. c/ outro veíc. mov.
Vila N. de Gaia,2011:04:13 15:45:00,0,1,A44,"7,300",Colisão tras. c/ outro veíc. mov.
Vila N. de Gaia,2011:04:13 18:00:00,0,1,R Póvoa Cima,,Colisão lat. c/ outro veíc. mov.
Vila N. de Gaia,2011:04:24 17:10:00,0,1,R Bela,,Despiste simples
Vila N. de Gaia,2011:04:28 17:40:00,0,1,Lg Mosteiro,,Atropelamento de peões
Vila N. de Gaia,2011:05:01 04:30:00,0,1,Pç Índia,,Despiste simples
Vila N. de Gaia,2011:05:02 09:50:00,0,1,EN109,,"14,000",Atropelamento de peões
Vila N. de Gaia,2011:05:06 12:45:00,0,1,R 5 Outubro,,,Colisão frontal
Vila N. de Gaia,2011:05:12 08:30:00,0,1,Av João Paulo II,,,Atropelamento de peões
Vila N. de Gaia,2011:05:19 12:15:00,0,1,R Heróis Ultramar,,,A  t  r o  p  e  l a me  n  t od ep  e  õ es
Vila N. de Gaia,2011:05:29 09:20:00,0,1,R Pinhal,,,Colisão tras. c/ outro veíc. mov.
Vila N. de Gaia,2011:06:03 21:25:00,0,1,R Caetano Remeão,,,Co  li s  ã  ol a  t .c  /  o  u  t r ov  e  í c .  m ov.
Vila N. de Gaia,2011:06:05 01:45:00,1,0,EN109-2,,"3,800",Despiste c/col. c/veíc. imobil./obst.
Vila N. de Gaia,2011:06:18 11:42:00,0,1,EN222,,"11,700",Despiste simples
Vila N. de Gaia,2011:06:19 15:15:00,1,0,R Guarda,,,Despiste c/col. c/veíc. imobil./obst.
Vila N. de Gaia,2011:07:06 00:10:00,0,1,R Estrada Rainha,,,Despiste s/dispositivo de retenção
Vila N. de Gaia,2011:07:14 16:30:00,0,2,A29,,"47,375",Despiste simples
Vila N. de Gaia,2011:08:27 13:45:00,0,1,R Mucelo,,,Colisão frontal
Vila N. de Gaia,2011:09:01 17:20:00,0,1,R Borreles,,,Despiste c/col. c/veíc. imobil./obst.
Vila N. de Gaia,2011:09:20 17:20:00,0,1,R Condes Resende,,,Atropelamento de peões
Vila N. de Gaia,2011:09:30 18:05:00,1,0,Av Beira-mar,,,A  t r o  p  e  l a  me  n  t od  epeões
Vila N. de Gaia,2011:10:03 01:30:00,0,2,R Caetano Melo,,,D  e  s  p  i s  t es  / d  is  p  o  s  i t i v o  de retenção
Vila N. de Gaia,2011:10:19 17:50:00,0,1,R Jardim,,,Co  l i s ã  ola  t .  c  /o  u  t r o veíc. mov.
Vila N. de Gaia,2011:11:23 10:50:00,1,0,A1,,"297,800",Atropelamento de peões
Vila N. de Gaia,2011:12:04 18:54:00,0,1,R S Félix,,,Despiste s/dispositivo de retenção
Vila N. de Gaia,2011:12:05 07:05:00,1,0,EN222,,"6,900",Atropelamento de peões
Vila N. de Gaia,2011:12:07 10:55:00,1,0,R Presa Seca,,,Despiste s/dispositivo de retenção
Vila N. de Gaia,2011:12:15 19:45:00,0,1,R Estação,,,Colisão com outras situações
Vila N. de Gaia,2011:12:17 20:25:00,0,1,R 5 Outubro,,,Colisão lat. c/ outro veíc. mov.
Vila N. de Gaia,2011:12:20 22:00:00,0,1,R Gassamar,,,Despiste simples
Vila N. de Gaia,2011:12:25 16:25:00,0,1,R Centro Social S Salvador,,,Atropelamento de peões
Vila N. de Gaia,2011:12:31 20:00:00,0,1,A44,,"4,600",Colisão frontal
"",,107,226,,,,
Amarante,2011:01:03 18:30:00,0,1,R Aboim,,,Despiste c/capotamento
Amarante,2011:01:14 18:15:00,0,1,R Salgueiros,,,Atropelamento de peões
Amarante,2011:01:23 14:15:00,1,0,R Mário Cal Brandão,,,Colisão frontal
Amarante,2011:01:27 21:15:00,1,0,EN210,,"31,000",Despiste c/ dispositivo de retenção
Amarante,2011:03:07 18:20:00,1,0,R Mó,,,Despiste simples
Amarante,2011:03:16 19:00:00,0,1,R Quintas - Real,,,Atropelamento de peões
Amarante,2011:03:25 19:45:00,0,1,R Toqueiros,,,Atropelamento de peões
Amarante,2011:04:06 06:15:00,0,1,R Palmazões,,,Despiste simples
Amarante,2011:04:10 09:45:00,0,2,R Joaq Augusto F Cardoso,,,Colisão frontal
Amarante,2011:04:22 21:30:00,3,3,R Sto Estevão,,,Atropelamento de peões
Amarante,2011:04:30 10:50:00,1,0,IP4,,"65,600",Colisão frontal
Amarante,2011:06:13 18:15:00,0,1,R Carreira Lama,,,Colisão lat. c/ outro veíc. mov.
Amarante,2011:06:19 20:40:00,0,1,R Nova Boavista,,,Despiste simples
Amarante,2011:07:15 09:30:00,1,0,R Velha Candemil,,,Atropelamento de peões
Amarante,2011:07:20 07:40:00,1,0,EN15,,"64,650",Colisão lat. c/ outro veíc. mov.
Amarante,2011:07:28 22:00:00,0,1,R Nogueiral,,,Colisão lat. c/ outro veíc. mov.
Amarante,2011:08:05 20:15:00,0,1,R Pinheiro,,,Colisão frontal
Amarante,2011:08:08 19:45:00,0,1,R Castanheiro Redondo,,,Colisão frontal
Amarante,2011:09:09 17:35:00,0,1,EN15,,"54,300",Colisão lat. c/ outro veíc. mov.
Amarante,2011:09:12 19:30:00,0,1,R Costa Grande Cima,,,Despiste s/dispositivo de retenção
Amarante,2011:11:27 10:45:00,0,1,R Central Espinheiro,,,Colisão lat. c/ outro veíc. mov.
Amarante,2011:11:27 12:00:00,0,1,Outra Via,,,Despiste c/col. c/veíc. imobil./obst.
Amarante,2011:12:14 12:00:00,0,1,R Lavadouros,,,Colisão frontal
Baião,2011:11:13 12:50:00,1,0,R Dra Emília Silva,,,Colisão frontal
Felgueiras,2011:01:18 19:45:00,1,0,Lugar Igreja - Torrados,,,Atropelamento de peões
Felgueiras,2011:01:20 22:45:00,0,1,EN101,,"128,900",Colisão frontal
Felgueiras,2011:04:29 12:10:00,0,1,Av República,,,Despiste c/col. c/veíc. imobil./obst.
Felgueiras,2011:05:16 19:00:00,0,1,Lugar S Roque,,,Atropelamento de peões
Felgueiras,2011:05:19 18:00:00,0,1,R S Martinho,,,Atropelamento de peões
Felgueiras,2011:06:29 21:30:00,1,2,R Cruzes,,,Colisão frontal
Felgueiras,2011:08:08 00:50:00,1,0,EN15,,"46,250",Despiste c/capotamento
Felgueiras,2011:08:11 18:00:00,0,1,R S Martinho - Caramos,,,Colisão lat. c/ outro veíc. mov.
Felgueiras,2011:09:20 14:15:00,1,0,R Nicolau Coelho,,,Colisão frontal
Felgueiras,2011:09:23 17:15:00,0,1,R Cruzeiro,,,Despiste c/col. c/veíc. imobil./obst.
Felgueiras,2011:10:14 15:50:00,1,0,R S Bartolomeu,,,Atropelamento de peões
Felgueiras,2011:10:22 02:50:00,1,0,EN101,,"134,400",Despiste c/col. c/veíc. imobil./obst.
Felgueiras,2011:10:26 17:30:00,1,0,R Casal Portas,,,Atropelamento de peões
Felgueiras,2011:11:09 10:05:00,1,0,A7,,"51,000",Despiste c/capotamento
Felgueiras,2011:11:20 03:30:00,0,1,EN15,,"49,000",Despiste s/dispositivo de retenção
Felgueiras,2011:11:23 11:10:00,0,1,R Vinte e três,,,Colisão frontal
Felgueiras,2011:12:01 07:40:00,1,0,R Comendador,,,Atropelamento de peões
Felgueiras,2011:12:19 19:15:00,1,0,Lugar Agras,,,Atropelamento de peões
Gondomar,2011:02:24 08:40:00,0,2,Av Conduta,,,Colisão com outras situações
Gondomar,2011:03:08 22:20:00,0,1,R Padre Andrade Silva,,,Co  li s  ã  ol a  t .  c  /  o  u  t r ov  e  í c .  mo v.
