Concelho,Datahora,M,FG,,Via,Km,Natureza
Armamar,02-10-2011 19:00,0,1,-,,-,Despiste simples
Penedono,29-04-2011 20:15,0,1,EN331,,"4,500",Despiste com colisão com veículo imobil. ...
Resende,20-01-2011 07:00,1,0,EM1059,,"0,001",Despiste com capotamento
Resende,27-11-2011 20:30,0,1,EM552,,-,Despiste com capotamento
Santa Comba Dao,22-09-2011 14:05,0,1,ACC-IP3,,-,Despiste simples
Santa Comba Dao,27-06-2011 11:35,1,0,AV STO ESTEVAO,,-,Atropelamento de peões
Santa Comba Dao,12-05-2011 23:12,0,1,EN2,,"206,300",Despiste sem dispositivo de retenção
Santa Comba Dao,06-04-2011 07:50,0,1,EN2,,"216,300",Colisão lateral com outro veículo em mov...
Santa Comba Dao,20-11-2011 16:20,0,1,EN234-6,,-,Despiste simples
Sao Joao da Pesqueira,19-08-2011 19:45,0,1,EM504,,"10,200",Colisão traseira com outro veículo em m...
Sao Joao da Pesqueira,05-04-2011 20:50,1,0,EN222,,"178,650",Despiste com colisão com veículo imobil. ...
Sao Pedro do Sul,03-06-2011 17:30,1,2,ANTIGA LINHA FE...,,-,Despiste simples
Sao Pedro do Sul,22-10-2011 16:05,0,2,EM1228,,-,Despiste com capotamento
Sao Pedro do Sul,05-08-2011 23:53,1,0,EN227,,"64,500",Colisão traseira com outro veículo em m...
Sao Pedro do Sul,26-01-2011 09:30,0,1,EN227,,"67,900",Despiste com capotamento
Sao Pedro do Sul,18-09-2011 14:40,0,1,R DA CUMEADA,,-,Despiste simples
Sao Pedro do Sul,22-11-2011 20:00,1,0,R PRINCIPAL,,-,Despiste simples
Satao,09-12-2011 14:00,1,1,EM580,,-,Despiste com capotamento
Satao,28-06-2011 23:20,0,1,EN229,,"59,900",Colisão lateral com outro veículo em mov...
"",-,-,-,-,,-,-
Satao,,29-08-2011 23:00,0,1,EN329,,"39,700",Colisão lateral com outro veículo em mov...
Sernancelhe,,28-10-2011 21:00,0,1,EM582,,-,Despiste simples
Sernancelhe,,11-07-2011 11:26,0,1,EN226,,"62,591",Despiste com capotamento
Tabuaco,,06-06-2011 21:40,0,1,EM323,,"36,800",Despiste com transposição do dispositivo...
Tarouca,,18-11-2011 12:30,1,0,-,,-,Despiste simples
Tarouca,,05-05-2011 22:20,0,1,AV PROF CELSO G...,,-,Despiste simples
Tarouca,,19-09-2011 18:10,0,1,EM520,,-,Despiste com capotamento
Tondela,,03-08-2011 17:30,1,0,-,,-,Despiste com capotamento
Tondela,,29-06-2011 10:30,0,1,AV ALMIROS 868,,-,Colisão com veiculo ou obstáculo na faix...
Tondela,,06-08-2011 11:30,0,1,AV DA VELA 301,,-,Colisão lateral com outro veículo em mov...
Tondela,,21-04-2011 12:20,1,2,AV DR ANTONIO M...,,-,Colisão frontal
Tondela,,20-06-2011 21:46,0,4,AV ESCOLA,,-,Atropelamento de peões
Tondela,,02-04-2011 01:20,0,3,EM228,,"48,500",Colisão frontal
Tondela,,02-12-2011 18:55,0,1,EN228,,-,Atropelamento de peões
Tondela,,01-04-2011 13:50,0,1,LARGO DR ANSEL...,,-,Atropelamento de peões
Tondela,,22-12-2011 16:55,1,0,R DA PANASQUEIRA,,-,Despiste com colisão com veículo imobil. ...
Vila Nova de Paiva,,03-09-2011 22:10,1,1,-,,-,Despiste simples
Vila Nova de Paiva,,21-04-2011 16:00,0,1,EN225,,"77,600",Colisão lateral com outro veículo em mov...
Vila Nova de Paiva,,24-08-2011 05:10,0,1,EN323,,"86,293",Despiste com colisão com veículo imobil. ...
Vila Nova de Paiva,,16-12-2011 08:06,0,1,EN329,,-,Colisão frontal
Viseu,,17-09-2011 12:15,0,1,-,,-,Despiste com colisão com veículo imobil. ...
Viseu,,07-01-2011 18:03,1,1,A25,,"97,087",Colisão traseira com outro veículo em m...
Viseu,,01-07-2011 08:20,0,1,Avenida Cidade de ...,,-,Atropelamento de peões
Viseu,,26-09-2011 12:45,0,1,Avenida da Bélgica .,,-,Atropelamento de peões
Viseu,,18-09-2011 19:00,0,1,AVENIDA LUÍS MA...,,-,Atropelamento de peões
Viseu,,25-05-2011 09:25,0,1,Avenida Luís Marti...,,-,Atropelamento de peões
Viseu,,17-02-2011 08:10,0,1,Avenida Regimento...,,-,Colisão traseira com outro veículo em m...
Viseu,,16-08-2011 15:45,1,0,EM568,,-,Despiste com capotamento
Viseu,,05-03-2011 22:00,0,1,EN16,,"84,250",Despiste simples
Viseu,,14-12-2011 08:30,0,1,EN16,,"87,300",Colisão frontal
Viseu,,05-09-2011 12:25,0,1,EN16,,"88,800",Colisão frontal
Viseu,,29-09-2011 19:50,0,2,EN16,,"90,300",Atropelamento de peões
Viseu,,15-09-2011 23:20,0,1,EN16,,"91,900",Atropelamento de peões
Viseu,,15-01-2011 05:25,0,1,EN16,,"94,600",Colisão lateral com outro veículo em mov...
Viseu,,30-12-2011 18:30,0,1,EN16,,"95,500",Atropelamento de peões
Viseu,,27-03-2011 12:40,0,2,EN2,,"158,600",Colisão frontal
Viseu,,05-04-2011 18:25,1,0,EN2,,"162,500",Colisão lateral com outro veículo em mov...
Viseu,,16-01-2011 20:00,1,0,EN2,,"163,700",Atropelamento de peões
Viseu,,11-03-2011 19:00,0,2,EN229,,"62,280",Colisão frontal
Viseu,,16-12-2011 18:35,1,0,EN229,,"72,700",Atropelamento de peões
Viseu,,17-06-2011 10:30,1,0,EN231,,"7,900",Colisão lateral com outro veículo em mov...
Viseu,,23-04-2011 20:25,0,1,ESTRADA CAMPO ...,,-,Despiste sem dispositivo de retenção
Viseu,,06-04-2011 15:00,0,1,ESTRADA DO AER...,,-,Colisão lateral com outro veículo em mov...
Viseu,,13-08-2011 10:55,0,1,Estrada do Sátão 670,,-,Colisão traseira com outro veículo em m...
Viseu,,12-04-2011 18:50,0,1,ESTRADA PRINCIP...,,-,Atropelamento de peões
Viseu,,24-12-2011 18:10,0,1,R DO PEDROGAL - ...,,-,Despiste simples
Viseu,,15-07-2011 14:15,0,1,Rotunda da Provir .,,-,Colisão lateral com outro veículo em mov...
Viseu,,03-02-2011 01:20,0,1,Rotunda de Santia...,,-,Despiste com dispositivo de retenção
Viseu,,23-07-2011 20:40,0,1,ROTUNDA DO PAL...,,-,Colisão lateral com outro veículo em mov...
Viseu,,10-11-2011 06:05,0,1,Rua Alferes Maldon...,,-,Despiste sem dispositivo de retenção
Viseu,,23-09-2011 17:30,0,1,Rua D. Duarte .,,-,Atropelamento de peões
Viseu,,09-03-2011 11:53,0,1,Rua Tenente Coron...,,-,Atropelamento de peões
Vouzela,,04-10-2011 14:20,0,1,A25,,"66,674",Despiste com colisão com veículo imobil. ...
Vouzela,,30-01-2011 10:30,1,0,EM1285,,"0,001",Despiste sem dispositivo de retenção
Vouzela,,19-04-2011 20:30,1,0,EN16,,"66,000",Despiste sem dispositivo de retenção
"",,-,-,-,-,,-,-
