Santarém,2012:11:16 13:14:00,0,1,"EN360,000",Colisão lat. c/ outro veíc. mov.
Santarém,2012:11:18 18:50:00,0,1,"EN331,850",Atropelamento com fuga
Santarém,2012:12:01 19:00:00,0,1,Rua Cidade de Santarém,Atropelamento de peões
Santarém,2012:12:23 10:00:00,1,0,Rua da Liberdade,Colisão lat. c/ outro veíc. mov.
Sardoal,2012:07:23 16:50:00,0,1,EM1242,Despiste simples
Tomar,2012:02:23 20:20:00,1,0,"EN11089,600",Colisão lat. c/ outro veíc. mov.
Tomar,2012:03:09 11:50:00,0,1,"EN349-316,000",Despiste c/ capotamento
Tomar,2012:03:17 14:15:00,1,1,"IC398,900",Colisão frontal
Tomar,2012:05:03 18:25:00,0,1,R DA MURTEIRA,Despiste c/col. c/veíc. imobil./obst.
Tomar,2012:05:25 17:15:00,0,1,EM539-2,Despiste simples
Tomar,2012:05:25 17:30:00,1,0,EM533,Atropelamento de peões
Tomar,2012:07:23 13:30:00,1,0,"IC961,900",Colisão frontal
Tomar,2012:07:24 18:30:00,0,2,Outra via,Colisão frontal
Tomar,2012:08:19 05:20:00,0,1,EM530-1,Despiste simples
Tomar,2012:09:03 12:30:00,0,1,"EN35816,252",Colisão com outras situações
Tomar,2012:09:07 19:00:00,0,1,"EN349-313,300",Colisão frontal
Tomar,2012:09:13 16:40:00,1,0,EM534,Despiste simples
Torres Novas,2012:01:19 17:20:00,0,1,VAR-B.AMOR,Colisão lat. c/ outro veíc. mov.
Torres Novas,2012:02:09 22:25:00,1,0,"EN24340,900",Despiste c/col. c/veíc. imobil./obst.
Torres Novas,2012:03:16 22:20:00,0,1,R DO PINHAL,Colisão frontal
Torres Novas,2012:04:19 09:05:00,0,1,"EN371,200",Despiste c/col. c/veíc. imobil./obst.
Torres Novas,2012:05:03 10:30:00,1,0,ESTRADA DO RELVAS,Colisão tras. c/ outro veíc. mov.
Torres Novas,2012:06:23 19:50:00,0,1,Estrada Alvorão,D  e  s  p  i s  t ec / c  o  l .c  / v  e  í c .  i mo  b  i l ./obst.
Torres Novas,2012:09:14 18:10:00,0,1,Rua José Marques,Atropelamento de peões
Torres Novas,2012:09:18 21:57:00,1,0,EM562,Colisão tras. c/ outro veíc. mov.
Torres Novas,2012:10:28 15:32:00,0,1,"EN34975,400",Colisão frontal
Torres Novas,2012:11:09 05:30:00,0,1,EN349,Despiste c/ capotamento
V. N. Barquinha,2012:05:26 12:43:00,0,1,R N.S. Fátima,Despiste c/col. c/veíc. imobil./obst.
V. N. Barquinha,2012:11:30 08:00:00,0,1,Rua da Barca,Despiste simples
,,56,154,,
Abrantes,2012:01:19 23:30:00,0,1,Avenida Dom Manuel I,Despiste c/ capotamento
Abrantes,2012:01:25 10:20:00,0,1,"EN2425,200",Colisão lat. c/ outro veíc. mov.
Abrantes,2012:02:24 05:40:00,0,1,"EN3104,557",Despiste simples
Abrantes,2012:04:23 07:50:00,0,1,Avenida Portagem,A  t r  o  p  e  la  me  n  t od  ep  e  õ  e  s
Abrantes,2012:05:12 00:25:00,1,0,"EN118149,000",Despiste simples
Abrantes,2012:05:22 10:10:00,1,1,R DOS CANAVIAIS,Colisão lat. c/ outro veíc. mov.
Abrantes,2012:07:10 15:55:00,0,2,"EM12130,100",Colisão frontal
Abrantes,2012:07:21 15:16:00,1,0,"EN2411,800",Despiste simples
Abrantes,2012:10:30 20:50:00,0,1,Avenida Forças Armadas,Atropelamento de peões
Abrantes,2012:11:17 13:40:00,0,1,R.Oleiros c/ Rua Sta. Luzia,Colisão lat. c/ outro veíc. mov.
Abrantes,2012:12:16 20:10:00,0,1,Av. Ant. Farinha Pereira,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Alcanena,2012:04:06 13:35:00,0,2,"A190,300",Despiste c/ capotamento
Alcanena,2012:04:28 11:00:00,0,1,R 1o DE DEZEMBRO,Colisão frontal
Alcanena,2012:08:13 02:40:00,0,1,Rua 1o de Dezembro,Atropelamento de peões
Alcanena,2012:08:31 12:05:00,0,1,Rua do Balancal,Colisão frontal
Alcanena,2012:09:18 18:40:00,1,0,R. D. José Alves Cor. Silva,Atropelamento de peões
Alcanena,2012:10:22 18:36:00,1,0,"A195,850",Despiste c/ capotamento
Alcanena,2012:12:10 00:05:00,1,0,"A193,400",Atropelamento de peões
Almeirim,2012:01:14 21:00:00,0,2,LG DE JOAO F FERREIRA,Colisão lat. c/ outro veíc. mov.
Almeirim,2012:03:08 21:15:00,1,0,"EN3681,400",Despiste simples
Almeirim,2012:04:14 17:20:00,0,1,Estrada Regional,Despiste c/ capotamento
Almeirim,2012:06:10 05:30:00,0,1,R MOINHO DE VENTO,Despiste c/ capotamento
Almeirim,2012:07:08 06:30:00,0,1,"EN3681,000",Despiste simples
Almeirim,2012:07:18 22:30:00,0,1,"EN11872,100",Despiste simples
Almeirim,2012:08:29 17:20:00,1,0,EM577,Colisão lat. c/ outro veíc. mov.
Almeirim,2012:11:16 18:00:00,0,1,R. Condessa da Junqueira,Atropelamento de peões
Alpiarça,2012:02:22 06:55:00,0,1,EST ADEGA DA GOUXA,Despiste c/ dispositivo de retenção
Alpiarça,2012:03:31 23:45:00,0,1,"EM3684,450",Despiste c/ capotamento
Alpiarça,2012:05:17 15:10:00,0,1,"EM3684,350",Colisão lat. c/ outro veíc. mov.
Alpiarça,2012:07:31 12:45:00,1,0,"EN11875,900",Despiste c/col. c/veíc. imobil./obst.
Alpiarça,2012:07:31 22:10:00,0,1,Estrada Municipal,Despiste simples
Alpiarça,2012:11:23 19:40:00,1,0,"EN11876,300",Colisão frontal
Benavente,2012:01:26 15:16:00,0,1,"EN11834,100",Colisão lat. c/ outro veíc. mov.
Benavente,2012:02:02 22:50:00,1,0,"EN10108,600",Atropelamento de peões
Benavente,2012:02:21 16:40:00,0,1,EST DO MIRADOURO,Despiste s/ dispositivo de retenção
Benavente,2012:03:23 13:11:00,1,0,"EN11830,100",Colisão lat. c/ outro veíc. mov.
Benavente,2012:03:28 08:40:00,0,1,"EN11833,019",Colisão lat. c/ outro veíc. mov.
Benavente,2012:04:07 07:10:00,0,1,"EN11832,200",Colisão tras. c/ outro veíc. mov.
Benavente,2012:04:12 20:30:00,0,1,"EN11838,100",Colisão lat. c/ outro veíc. mov.
Benavente,2012:04:14 04:10:00,0,1,AV O SECULO,Colisão frontal
Benavente,2012:06:11 22:20:00,0,1,AV O SECULO,Atropelamento de peões
Benavente,2012:09:22 16:45:00,0,1,"EN11926,600",Colisão tras. c/ outro veíc. mov.
Benavente,2012:10:03 15:20:00,0,1,"EN11834,500",Colisão lat. c/ outro veíc. mov.
Benavente,2012:10:31 14:30:00,0,1,Estrada da Samoana,Colisão frontal
Cartaxo,2012:03:01 04:15:00,1,0,"EN321,552",Despiste simples
Cartaxo,2012:05:02 11:35:00,0,1,"EN320,900",Colisão lat. c/ outro veíc. mov.
Cartaxo,2012:08:02 02:30:00,0,1,"EN365-28,700",Despiste simples
Cartaxo,2012:09:08 12:30:00,0,1,Largo Vasco da Gama,D  e  s  p  i s  t es /  d  i s  p  o  s  i t iv  od  er e  t e  n  ção
Cartaxo,2012:11:25 19:45:00,0,1,Rua Serpa Pinto,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Cartaxo,2012:12:14 16:15:00,1,1,"EN326,850",Despiste simples
Chamusca,2012:07:20 19:00:00,0,1,Outra via,Despiste c/ capotamento
Chamusca,2012:08:14 20:15:00,2,0,Rua Principal Semideiro,Colisão frontal
Chamusca,2012:12:02 10:30:00,0,1,EM1375,Despiste simples
