Matosinhos,2007:09:04 12:05:00,1,1,AV GEN NORTON MATOS/R SOUSA AROSA,,,Col. tras. c/ outro veíc. mov.
Matosinhos,2007:09:04 18:10:00,0,1,AV COMERCIO LEIXÕES,,,Colisão com outras situações
Matosinhos,2007:09:26 09:20:00,0,1,R DR EDUARDO TORRES,,,Atropelamento peões
Matosinhos,2007:09:29 13:30:00,0,1,R A NORTE,,,Col. tras. c/ outro veíc. mov.
Matosinhos,2007:10:03 17:45:00,0,1,AV COMERCIO LEIXÕES,,,Colisão frontal
Matosinhos,2007:10:10 13:15:00,0,1,TV DR BARROS,,,Atropelamento peões
Matosinhos,2007:11:06 15:10:00,0,1,AV REPUBLICA,,,Col. lat. c/ outro veíc. mov.
Matosinhos,2007:12:10 15:30:00,0,1,AV ANTUNES GUIMARÃES,,,Colisão frontal
Matosinhos,2007:12:16 02:45:00,0,2,Estrada Municipal,,,Despiste simples
Matosinhos 2007:12:27 11:15:00,,0,1,R JOAQUIM ALVES SILVA,,Col. lat. c/ outro veíc. mov.
Paç. de Ferreira 2007:09:21 18:50:00,,0,1,EN209,"36,040",Atropelamento peões
Paç. de Ferreira 2007:03:05 08:20:00,,0,1,R S MIGUEL,,Col. lat. c/ outro veíc. mov.
Paç. de Ferreira 2007:05:04 06:40:00,,1,0,AV N SRA ROSARIO,,Colisão frontal
Paç. de Ferreira 2007:05:12 21:45:00,,0,1,TV PRESSA DA  RIBEIRA,,Colisão frontal
"* M=mortos; FG=feridos graves",,,,,,
Concelho,Datahora,M*,FG*,,Via,km,Natureza
Paç. de Ferreira,2007:05:23 20:15:00,0,1,R PEGAS,,,Colisão frontal
Paç. de Ferreira,2007:06:17 17:30:00,0,1,R NOVA S BENTO,,,Colisão frontal
Paç. de Ferreira,2007:07:05 23:30:00,0,1,R PROGRESSO,,,Despiste simples
Paç. de Ferreira,2007:07:17 18:15:00,0,1,PE ANTONIO VIEIRA,,,Atropelamento peões
Paç. de Ferreira,2007:08:19 11:40:00,0,1,R PISCINAS,,,Colisão frontal
Paç. de Ferreira,2007:10:07 16:40:00,0,1,R MARCENEIRO,,,Col. lat. c/ outro veíc. mov.
Paç. de Ferreira,2007:10:31 18:20:00,0,2,AV ALTO PAÇO,,,Colisão frontal
Paç. de Ferreira,2007:11:29 08:00:00,0,1,R FIJÔ,,,Colisão frontal
Paredes,2007:11:08 18:15:00,0,2,EN15-3,,"0,500",Colisão frontal
Paredes,2007:09:15 00:30:00,0,2,EN319-2,,"1,350",Col. tras. c/ outro veíc. mov.
Paredes,2007:06:12 00:15:00,0,1,EN15,,"13,000",Col. tras. c/ outro veíc . mov.
Paredes,2007:01:28 02:15:00,1,0,EN15,,"20,200",Colisão frontal
Paredes,2007:03:24 02:30:00,2,0,EN319,,"21,020",Despiste simples
Paredes,2007:10:14 19:30:00,1,0,A4,,"25,216",Colisão com outras situações
Paredes,2007:09:19 13:09:00,0,1,EN319,,"31,900",Despiste com capotamento
Paredes,2007:01:26 23:30:00,0,1,AV CENTRAL S MIGUEL,,,Despiste c/ col c/ veíc. imob/obst.
Paredes,2007:02:10 23:30:00,0,1,R ZONA INDUSTRIAL,,,Despiste simples
Paredes,2007:03:01 08:05:00,0,1,AV FABRICA,,,Col. lat. c/ outro veíc. mov.
Paredes,2007:05:02 22:30:00,0,1,R S JOSE,,,Atropelamento peões
Paredes,2007:05:19 18:30:00,1,0,AV JOAQUIM RIBEIRO MOTA,,,Despiste c/ col c/ veíc. imob/obst.
Paredes,2007:05:20 12:10:00,0,3,AV STA ISABEL,,,Col. tras. c/ outro veíc. mov.
Paredes,2007:07:11 07:10:00,0,1,ACC-A28,,,Desp. com dispositivo retenção
Paredes,2007:07:11 18:15:00,0,1,R D'ALEM,,,Despiste com fuga
Paredes,2007:07:13 19:00:00,0,1,LUGAR BONZIGUNE,,,Despiste simples
Paredes,2007:07:22 19:00:00,0,1,R ALMINHAS,,,Despiste simples
Paredes,2007:08:12 15:00:00,0,1,R S SATURIANO,,,Col. lat. c/ outro veíc. mov.
Paredes,2007:08:29 20:10:00,0,1,R REGUEDOURA,,,Colisão frontal
Paredes,2007:08:31 23:50:00,1,0,R DAMIÃO,,,Despiste simples
Paredes,2007:10:13 00:35:00,0,1,R 25 ABRIL,,,Despiste simples
Paredes,2007:10:27 13:30:00,0,1,AV TELHA,,,Despiste c/ col c/ veíc. imob/obst.
Penafiel,2007:03:31 10:30:00,0,2,EN211,,"0,500",Despiste c/ col c/ veíc. imob/obst.
Penafiel,2007:03:03 12:15:00,1,0,EN211-1,,"1,200",Colisão frontal
Penafiel,2007:05:14 08:35:00,0,1,EN211,,"3,000",Colisão frontal
Penafiel,2007:03:04 10:30:00,0,1,EN106,,"23,500",Despiste com capotamento
Penafiel,2007:11:22 09:00:00,1,0,EN108,,"27,700",Desp. c/ transp. disp. ret. lateral
Penafiel,2007:11:26 10:30:00,0,1,EN106,,"28,070",Colisão com outras situações
Penafiel,2007:01:11 12:40:00,0,1,EN15,,"28,300",Col. lat. c/ outro veíc. mov.
Penafiel,2007:12:21 21:15:00,0,1,EN106,,"29,550",Col. c/ veíc./obst. f. rodagem
Penafiel,2007:06:02 00:20:00,0,1,EN106,,"30,200",Colisão com outras situações
Penafiel,2007:05:06 22:20:00,0,1,EN106,,"33,200",Atropelamento peões
Penafiel,2007:11:06 19:20:00,0,1,EN106,,"34,770",Atropelamento peões
Penafiel,2007:12:13 07:00:00,0,1,EN15,,"35,700",Atropelamento peões
Penafiel,2007:08:21 17:50:00,0,1,A4,,"36,330",Despiste com capotamento
