Concelho,Datahora,M*,FG*,Via,km,Natureza
Caldas da Rainha,2010-04-30 15:59,0,1,VAR-ATLAN,,Colisão lat. c/outro veíc. mov.
Caldas da Rainha,2010-04-06 08:15,0,1,Rua Dr. Ilídio Amado,,Atropelamento de peões
Caldas da Rainha,2010-02-07 13:10,0,1,R STO ANTONIO,,Despiste c/col. c/veíc. imobil./obst
Caldas da Rainha,2010-05-23 04:50,0,1,R PRINCIPAL,,Despiste com capotamento
Caldas da Rainha,2010-12-19 08:10,0,1,RUA DA ESCOLA,,Despiste com capotamento
Caldas da Rainha,2010-10-15 13:20,0,1,Rua Alm. Gago Coutinho,,Colisão c/veic./obstá. f. rodagem
Caldas da Rainha,2010-08-31 15:15,0,1,Av. Dr. Carvalho Pargana,,Despiste c/col. c/veíc. imobil./obst
Caldas da Rainha,2010-08-07 20:25,0,1,Rotunda Bairro das Morenas,,Colisão lat. c/outro veíc. mov.
Caldas da Rainha,2010-03-12 09:00,0,1,Avenida Gen. Pedro Cardoso,,Atropelamento de peões
Figueiró dos Vinhos,2010-04-08 21:00,0,1,IC8,"75,250",Desp. c/transp.disp. ret. lateral
Figueiró dos Vinhos,2010-07-06 13:05,0,1,Estrada Municipal,,Colisão frontal
Figueiró dos Vinhos,2010-07-23 17:10,1,2,EM525,,Despiste com capotamento
Figueiró dos Vinhos,2010-10-11 15:50,0,1,EM525,,Despiste c/col. c/veíc. imobil./obst
Figueiró dos Vinhos,2010-09-29 12:10,0,1,IC8,"77,200",Despiste simples
Figueiró dos Vinhos,2010-10-06 11:30,2,0,IC8,"76,600",Colisão lat. c/outro veíc. mov.
Figueiró dos Vinhos,2010-06-27 18:00,0,1,EM517,"64,000",Colisão lat. c/outro veíc. mov.
Leiria,2010-01-27 14:20,0,1,A1,"125,600",Despiste com capotamento
Leiria,2010-01-27 08:30,0,1,R JOSE SANTOS LOPES,,Despiste simples
Leiria,2010-01-14 19:00,0,1,EST MARINHA GRANDE,,Atropelamento de peões
Leiria,2010-03-21 17:00,0,1,R DO LAGAR ARROTEIA,,Colisão frontal
Leiria,2010-05-08 15:45,0,2,EN113,,Despiste c/col. c/veíc. imobil./obst
Leiria,2010-02-28 22:28,3,0,EN356-1,,Despiste s/ disp. retenção
Leiria,2010-03-05 19:40,0,1,Rua A. da Cruz Saraiva,,Atropelamento de peões
Leiria,2010-04-08 13:07,1,0,EN356,"8,750",Colisão tras. c/ outro veíc. mov.
Leiria,2010-04-26 19:15,0,1,A1,"134,900",Desp. c/transp.disp. ret. lateral
Leiria,2010-06-23 21:20,0,1,EN242,,Despiste com capotamento
Leiria,2010-06-16 18:30,0,1,Rua Padre António,,Colisão com outras situações
Leiria,2010-02-10 19:00,0,1,A1,"122,450",Colisão lat. c/outro veíc. mov.
Leiria,2010-02-12 22:45,0,1,EN356,"4,500",Despiste com capotamento
Leiria,2010-02-12 21:10,1,0,EN1,"134,500",Atropelamento de peões
Leiria,2010-02-14 10:30,0,1,Estrada Municipal,,Despiste simples
Leiria,2010-02-17 19:32,0,1,A8,"122,300",Colisão tras. c/ outro veíc. mov.
Leiria,2010-03-08 14:00,0,2,EN109,,Colisão lat. c/outro veíc. mov.
Leiria,2010-05-13 14:15,0,1,EN113,"8,900",Despiste simples
Leiria,2010-07-05 09:00,0,1,Rua D. José Alves C. Silva,,Colisão com outras situações
Leiria,2010-06-25 18:20,0,1,Estrada dos Marinheiros,,Despiste s/ disp. retenção
Leiria,2010-05-07 08:45,0,2,R DAS FONTAINHAS,,Colisão frontal
Leiria,2010-07-03 19:50,0,1,EN109,"159,700",Colisão frontal
Leiria,2010-07-24 19:15,0,1,R PRINCIPAL,,Colisão frontal
Leiria,2010-06-08 18:30,1,0,R PRINCIPAL,,Colisão lat. c/outro veíc. mov.
Leiria,2010-06-14 12:00,0,1,A1,"120,950",Desp. c/transp.disp. ret. lateral
Leiria,2010-06-27 06:30,0,1,VPL,"1,400",Desp. c/transp.disp. ret. lateral
Leiria,2010-04-24 05:25,0,1,Avenida Com. Europeia,,Desp. c/transp.disp. ret. lateral
Leiria,2010-08-09 05:50,0,1,A1,"122,928",Colisão tras. c/ outro veíc. mov.
Leiria,2010-08-02 07:20,0,1,EM593,,Colisão frontal
Leiria,2010-08-24 14:30,0,1,EN109,"163,235",Colisão frontal
Leiria,2010-07-29 21:20,0,1,Estrada Municipal,,Atropelamento de peões
Leiria,2010-09-28 19:10,0,3,EN1,"131,600",Despiste com capotamento
Leiria,2010-09-15 15:40,0,1,R DE LEIRIA,,Despiste s/ disp. retenção
Leiria,2010-09-19 09:03,0,1,EN1,"120,000",Despiste c/col. c/veíc. imobil./obst
Leiria,2010-12-14 08:20,0,1,Estrada da Mata,,Atropelamento de peões
Leiria,2010-10-02 13:30,0,1,EN349-1,"6,700",Colisão c/veic./obstá. f. rodagem
Leiria,2010-10-09 18:30,0,1,R PRINCIPAL,,Despiste com capotamento
Leiria,2010-10-10 13:00,0,1,EN1,"131,300",Colisão tras. c/ outro veíc. mov.
Leiria,2010-12-19 21:20,0,1,Rua Outeiro do Pomar,,Atropelamento de peões
Leiria,2010-10-16 08:30,1,0,EN357,"3,100",Colisão lat. c/outro veíc. mov.
Leiria,2010-10-30 08:30,0,1,EN356,"4,540",Despiste simples
Leiria,2010-10-30 08:30,0,1,R DO RIBEIRO,,Colisão lat. c/outro veíc. mov.
Leiria,2010-12-16 14:30,0,1,Rua do Poço,,Colisão com fuga
Leiria,2010-12-18 15:25,0,1,Estrada da Barosa,,Colisão frontal
Leiria,2010-11-08 12:15,1,0,R CASAL CAVALEIRO,,Despiste simples
Leiria,2010-11-29 18:00,1,0,EN109,"156,290",Atropelamento de peões
Leiria,2010-11-29 18:45,0,2,IC2,"121,850",Colisão c/veic./obstá. f. rodagem
Leiria,2010-12-05 16:45,0,3,EN1,,Colisão frontal
Leiria,2010-12-11 13:45,0,1,Pq. Restaurante Canário,,Atropelamento de peões
Marinha Grande,2010-01-01 23:00,0,1,EN242-2,"3,250",Despiste com capotamento
Marinha Grande,2010-01-07 19:40,1,0,Rua de São Tomé e Príncipe,,Despiste simples
Marinha Grande,2010-06-18 02:30,1,0,Rua de Leiria,,Despiste s/ disp. retenção
Marinha Grande,2010-02-06 04:25,2,0,EN242-1,"9,800",Despiste com fuga
Marinha Grande,2010-03-20 13:30,0,1,Avenida Eng.o Arala Pinto,,Colisão lat. c/outro veíc. mov.
Marinha Grande,2010-05-23 14:30,0,1,R PRINCIPAL,,Despiste com capotamento
Marinha Grande,2010-12-20 12:30,0,1,Estrada Regional,"0,100",Colisão lat. c/outro veíc. mov.
Marinha Grande,2010-10-08 14:00,1,0,Estrada de Leiria,,C  o  l i s  ã  ot r a  s  .  c /  o  u  t r  o  veíc. mov.
Marinha Grande,2010-10-17 10:46,1,1,EN242,"18,000",Colisão com outras situações
Marinha Grande,2010-09-05 05:50,0,2,EN242-2,,"4,500",Despiste c/col. c/veíc. imobil./obst
Marinha Grande,2010-12-06 06:55,0,2,Rua Augusto Costa,,,C  o  l i s  ã  of r o  n  t a  l
Marinha Grande,2010-10-06 14:20,0,1,EN242-2,,"4,500",Colisão lat. c/outro veíc. mov.
Marinha Grande,2010-11-08 12:55,1,0,R DOS FRANCOS,,,Despiste c/col. c/veíc. imobil./obst
Marinha Grande,2010-08-11 05:50,1,2,R. S. Pedro Moel c/Tv. Bina,,,Despiste c/col. c/veíc. imobil./obst
Nazaré,2010-05-07 18:00,0,1,A8,,"108,400",Despiste com capotamento
Nazaré,2010-08-21 01:00,0,1,Avenida Manuel Remígio,,,Colisão com outras situações
Nazaré,2010-01-01 01:40,0,1,Avenida Manuel Remígio,,,Atropelamento de peões
Nazaré,2010-10-09 15:16,1,0,EN242,,"34,560",Despiste c/col. c/veíc. imobil./obst
Nazaré,2010-08-12 08:00,0,1,EM1285,,,Despiste s/ disp. retenção
Nazaré,2010-10-27 13:20,0,1,EN242,,"34,250",Despiste c/col. c/veíc. imobil./obst
"Óbidos",2010-03-12 23:25,0,1,Rua Empresarial GAEIRAS,,,Colisão frontal
"Óbidos",2010-06-12 20:00,0,1,EN115,,"6,100",Colisão frontal
"Óbidos",2010-10-14 15:00,1,0,EN115,,"1,600",Despiste c/col. c/veíc. imobil./obst
"Óbidos",2010-09-26 10:00,1,0,EN115,,"7,300",Colisão lat. c/outro veíc. mov.
"Óbidos",2010-08-23 11:30,0,1,IP6,,"11,500",Despiste com capotamento
Pedrógão Grande,2010-11-03 13:10,0,1,IC8,,"85,800",Colisão tras. c/ outro veíc. mov.
Pedrógão Grande,2010-05-07 13:00,0,1,IC8,,"91,600",Desp. c/transp.disp. ret. lateral
Pedrógão Grande,2010-02-21 14:50,0,1,EM1167,,"0,010",Despiste c/col. c/veíc. imobil./obst
Pedrógão Grande,2010-07-02 22:30,0,1,EN350,,"74,950",Despiste com capotamento
Pedrógão Grande,2010-06-05 19:30,0,1,Estrada Municipal,,,Colisão frontal
Pedrógão Grande,2010-07-29 10:40,1,1,IC8,,"92,350",Colisão frontal
Peniche,2010-10-27 10:40,0,1,Rua João Matos Bilhau,,,C  o  l i s  ã  ola  t .  c  / o  u  t r ov  e  í c  .m  ov.
Peniche,2010-05-31 18:05,0,1,R DAS MULATAS,,,Colisão frontal
Peniche,2010-01-01 08:30,0,1,EM578,,,Despiste com capotamento
Peniche,2010-07-01 10:00,1,1,IP6,,"7,600",Colisão lat. c/outro veíc. mov.
Peniche,2010-11-01 21:30,0,1,EN247,,"2,100",Despiste simples
Peniche,2010-08-09 22:00,0,1,IP6,,"4,400",Despiste com capotamento
Peniche,2010-09-05 02:45,0,1,AV DO MAR,,,Colisão frontal
Peniche,2010-01-12 18:10,0,1,Rua Sacadura Cabral,,,Atropelamento de peões
Peniche,2010-07-09 17:25,0,1,Porto de Pesca,,,Atropelamento de peões
Pombal,2010-06-02 09:10,0,2,IC2,,"145,700",Colisão tras. c/ outro veíc. mov.
Pombal,2010-07-10 05:00,1,1,R LEIRIA,,,Despiste s/ disp. retenção
Pombal,2010-05-11 15:35,0,1,Outra Via,,,Despiste com capotamento
Pombal,2010-02-02 15:30,0,2,EN1,,"143,300",Colisão frontal
Pombal,2010-02-04 08:00,0,1,EN1,,"144,800",Colisão frontal
Pombal,2010-02-05 19:00,0,1,EN342,,"1,700",Colisão frontal
Pombal,2010-04-12 14:10,0,1,IC2,,"142,700",Colisão frontal
Pombal,2010-04-17 20:35,0,1,EN1,,"154,694",Colisão lat. c/outro veíc. mov.
Pombal,2010-12-05 15:35,1,0,A1,,"156,720",Despiste simples
Pombal,2010-01-19 19:15,0,1,EN1,,"151,000",Colisão lat. c/outro veíc. mov.
Pombal,2010-12-19 02:10,0,1,IC2,,"158,800",Despiste com capotamento
Pombal,2010-12-19 22:30,0,1,IC8,,"49,800",Colisão frontal
Pombal,2010-12-31 18:30,1,0,EN109,,"142,800",Despiste simples
Pombal,2010-12-01 06:35,0,1,EN1,,"147,400",Despiste simples
Pombal,2010-11-28 05:40,1,0,EN109,,"141,400",Despiste c/col. c/veíc. imobil./obst
Pombal,2010-11-18 00:50,0,1,IC8,,"54,500",Colisão frontal
Pombal,2010-10-20 09:40,0,1,Rua António G. Junqueira,,,Atropelamento de peões
Pombal,2010-10-13 13:10,0,1,EN342,,"8,900",Atropelamento de peões
Pombal,2010-10-06 17:30,0,1,EM237,,,Despiste c/col. c/veíc. imobil./obst
Pombal,2010-10-05 21:50,0,1,A1,,"156,015",Atropelamento de peões
Pombal,2010-09-12 12:40,0,1,EN1,,"159,033",Colisão lat. c/outro veíc. mov.
Pombal,2010-09-07 09:15,0,2,IC2,,"152,020",Colisão frontal
Pombal,2010-09-06 13:30,0,1,EN237,,"17,600",Colisão frontal
Pombal,2010-11-13 20:45,1,1,Av. Heróis do Ultramar,,,Despiste c/col. c/veíc. imobil./obst
Pombal,2010-06-10 22:40,0,2,EN237,,"17,300",Despiste c/col. c/veíc. imobil./obst
Pombal,2010-08-08 11:48,0,1,A1,,"157,050",Colisão choque em cadeia
Pombal,2010-08-25 17:10,0,2,Estrada Municipal,,,Despiste com capotamento
Pombal,2010-08-15 22:45,0,1,R PRINCIPAL,,,Atropelamento com fuga
Pombal,2010-07-28 11:00,0,2,R RESINEIRO,,,Despiste simples
Porto de Mos,2010-11-10 11:45,1,0,EN243,,"17,150",Colisão frontal
Porto de Mos,2010-07-04 18:00,0,1,R LUIS CAMOES,,,Colisão c/veic./obstá. f. rodagem
Porto de Mos,2010-05-06 20:20,1,0,EN362,,"13,700",Despiste com capotamento
Porto de Mos,2010-03-29 15:00,0,1,EM1272,,,Despiste com capotamento
Porto de Mos,2010-05-10 14:25,0,1,EN8,,"131,200",Despiste com capotamento
Porto de Mos,2010-12-31 18:30,1,0,AV D AFONSO HENRIQUES,,,Atropelamento de peões
Porto de Mos,2010-08-17 22:35,1,1,EN1,,"101,475",Colisão com outras situações
Porto de Mos,2010-04-14 07:50,0,1,R CARRASCO,,,Atropelamento de peões
Porto de Mos,2010-08-30 19:30,0,1,R DA FERREIRA,,,Atropelamento de peões
Porto de Mos,2010-09-13 20:00,0,2,EM547-2,,,Colisão lat. c/outro veíc. mov.
Porto de Mos,2010-08-23 00:30,0,1,EN1,,"107,150",Colisão com outras situações
Porto de Mos,2010-07-02 16:30,0,1,EM543,,,Colisão lat. c/outro veíc. mov.
Porto de Mos,2010-11-16 17:20,0,1,EN362,,"9,950",Atropelamento de peões
Porto de Mos,2010-09-11 19:50,0,1,EN243,,"12,150",Colisão frontal
Porto de Mos,2010-11-07 00:35,1,0,EM547,,,Despiste c/col. c/veíc. imobil./obst
"",,52,195,,,,
