Concelho,Datahora,M*,FG*,,Via,Km,Natureza
Paredes,2010-01-20 20:36,0,1,R DR PROF MEIRELES CUNHA,,,Colisão frontal
Paredes,2010-12-29 18:05,1,0,EN15,,"21,859",Colisão c/veic./obstá. f. rodagem
Paredes,2010-12-24 18:30,1,0,AV F SA CARNEIRO REBORDOSA  315,,,Colisão frontal
Paredes,2010-11-05 18:15,0,1,R JOÃO PAULO II,,,Colisão tras. c/ outro veíc. mov.
Paredes,2010-10-16 16:00,0,1,RAMPA DA TOYOTA,,,Despiste com capotamento
Paredes,2010-10-09 20:35,0,1,AV PADRE MANUEL PINTO ABREU,,,Atropelamento de peões
Paredes,2010-10-02 18:00,0,1,R CENTRAL DE CASCONHA,,,Atropelamento de peões
Paredes,2010-09-12 09:05,2,0,R DE STA TECLA,,,Despiste c/col. c/veíc. imobil./obst.
Paredes,2010-07-31 05:15,0,1,R DO APEADEIRO,,,Colisão frontal
Paredes,2010-08-08 12:19,1,0,R DO COVAL,,,Despiste s/ disp. retenção
Paredes,2010-07-23 11:30,1,0,R BAIRROS,,,Despiste simples
Paredes,2010-07-22 13:20,0,2,R DO COUCIEIRO,,,Colisão lat. c/outro veíc. mov.
Paredes,2010-07-18 00:10,0,1,AV FRANCISCO SA CARNEIRO,,,Despiste c/col. c/veíc. imobil./obst.
Paredes,2010-07-04 18:05,0,1,EN209,,"25,950",Atropelamento de peões
Paredes,2010-05-04 07:10,1,2,A4,,"23,100",Despiste com capotamento
Paredes,2010-01-09 17:15,1,1,R PONTA 24,,,Despiste com capotamento
Penafiel,2010-05-01 18:10,0,1,AV HOSPITAL PADRE AMERICO,,,Despiste simples
Penafiel,2010-12-06 23:05,1,0,A11,,"77,570",Atropelamento de peões
Penafiel,2010-01-02 20:15,0,1,EN106,,"35,150",Atropelamento de peões
Penafiel,2010-01-23 19:50,0,1,LUGAR ARCOS,,,Colisão frontal
Penafiel,2010-03-26 07:20,1,0,EN319,,"38,600",Colisão frontal
Penafiel,2010-03-27 16:00,2,1,VAR-CAVALU,,,Colisão lat. c/outro veíc. mov.
Penafiel,2010-02-06 07:50,0,1,EN106-3,,"1,900",Colisão com outras situações
Penafiel,2010-02-16 01:35,0,1,A11,,"79,900",Despiste c/ disp. retenção
Penafiel,2010-02-25 15:40,0,1,A4,,"39,600",Colisão tras. c/ outro veíc. mov.
Penafiel,2010-05-19 12:05,0,1,R DAS MIMOSAS 324,,,Colisão frontal
Penafiel,2010-09-02 16:45,1,0,EN320,,"24,600",Despiste simples
Penafiel,2010-09-30 16:50,0,1,AV LIBERDADE,,,Atropelamento de peões
Penafiel,2010-09-19 05:30,0,1,EN106,,"29,060",Despiste simples
Penafiel,2010-08-27 19:10,0,1,EN106,,"19,100",Colisão frontal
Penafiel,2010-10-29 19:00,0,2,EN106,,"35,300",Atropelamento de peões
Penafiel,2010-12-23 05:55,0,1,EN319,,"52,700",Colisão c/veic./obstá. f. rodagem
Penafiel,2010-11-28 00:24,1,0,EN211,,"1,900",Colisão frontal
Penafiel,2010-12-06 19:24,0,1,EN106-3,,"3,600",Atropelamento de peões
Penafiel,2010-07-15 07:30,0,1,R GUILHUFE,,,Atropelamento com fuga
Penafiel,2010-11-28 01:30,0,1,R DE SAMIL 414,,,Despiste simples
Porto,2010-05-28 19:40,0,1,Praça Mouzinho de Albuquerque 160,,,Atropelamento de peões
Porto,2010-06-23 18:20,0,1,Rua Natária 38,,,Atropelamento de peões
Porto,2010-07-21 00:30,1,0,Avenida Marechal Gomes da Costa 761,,,Colisão lat. c/outro veíc. mov.
Porto,2010-03-20 17:25,0,1,Rua Câmara Pestana 373,,,Colisão com outras situações
Porto,2010-09-30 20:05,0,1,Avenida Rodrigues de Freitas 40,,,Atropelamento de peões
Porto,2010-10-04 20:30,0,1,Rua Linhas de Torres 248,,,Colisão frontal
Porto,2010-02-07 21:40,1,0,Rua Quinta Amarela 130,,,Colisão com outras situações
Porto,2010-01-19 15:05,0,1,Rua Alegria 1736,,,Atropelamento de peões
Porto,2010-06-06 20:15,0,1,Rua João de Barros s/no,,,Atropelamento de peões
Porto,2010-03-21 12:40,0,1,Rua Costa Cabral 00,,,Atropelamento de peões
Porto,2010-08-10 14:20,1,0,Avenida Fernão de Magalhães,,,Colisão lat. c/outro veíc. mov.
Porto,2010-08-16 10:50,0,1,Avenida Dom Afonso Henriques 0,,,Atropelamento de peões
Porto,2010-08-18 02:10,0,1,Avenida Boavista 3579,,,Despiste c/ disp. retenção
Porto,2010-07-26 17:20,0,1,Rua Júlio Lourenço Pinto,,Colisão com outras situações
Porto,2010-03-11 19:40,0,1,Estrada da Circunvalação Km 12.,,Atropelamento de peões
Porto,2010-02-05 18:55,0,1,Rua Nossa Senhora de Fátima 232,,Colisão lat. c/outro veíc. mov.
Porto,2010-10-31 14:10,0,1,A20,,Despiste c/ disp. retenção
P. Varzim,2010-03-01 14:20,0,1,Rua Bernardino da Ponte 52,,Despiste simples
P. Varzim,2010-01-31 20:50,2,1,A28,"30,400",Despiste simples
P. Varzim,2010-02-17 19:30,0,1,Rua Gomes de Amorim 2706,,Atropelamento de peões
P. Varzim,2010-02-17 07:25,0,1,Rua Gomes de Amorim 43,,Atropelamento de peões
P. Varzim,2010-05-23 13:35,0,1,Rua Doutor Belarmino Pereira 0,,Colisão com outras situações
P. Varzim,2010-05-06 17:35,0,1,R SANGUINHAIS 23,,Colisão frontal
P. Varzim,2010-08-09 06:45,0,1,R DE GESTINS 25,,Colisão frontal
P. Varzim,2010-08-17 18:45,0,2,R DA CATURELA 202,,Atropelamento de peões
P. Varzim,2010-10-31 14:00,0,1,Rua de Viriato Barbosa s/n,,Atropelamento de peões
P. Varzim,2010-11-22 19:30,0,1,Rua da Boavista 15,,Atropelamento de peões
P. Varzim,2010-12-13 19:50,0,1,ACC-A28,,Colisão choque em cadeia
P. Varzim,2010-10-02 15:45,1,0,A28,"33,800",Desp. c/transp.disp. ret. lateral
P. Varzim,2010-10-20 07:00,0,1,EN13,"31,563",Atropelamento de peões
P. Varzim,2010-10-27 12:00,0,1,R RAMALHA 10,,Colisão frontal
P. Varzim,2010-06-27 21:45,0,1,Rua Gomes de Amorim S/n,,Colisão tras. c/ outro veíc. mov.
P. Varzim,2010-11-01 19:30,0,2,A28,"36,150",Despiste com capotamento
P. Varzim,2010-12-26 16:30,0,1,RUA DO FOJO 424,,Colisão lat. c/outro veíc. mov.
Santo Tirso,2010-01-22 18:50,0,1,Rua Real 23.5,,Atropelamento de peões
Santo Tirso,2010-11-18 09:10,1,0,EN207,"1,500",Colisão lat. c/outro veíc. mov.
Santo Tirso,2010-01-30 05:50,0,1,EN319,"10,945",Despiste s/ disp. retenção
Santo Tirso,2010-04-15 10:20,0,1,Rua São Bento da Batalha 42,,Atropelamento de peões
Santo Tirso,2010-06-02 16:15,0,1,VAR-EN105,,Despiste c/ disp. retenção
Santo Tirso,2010-04-20 23:00,0,2,EN105,"28,000",Colisão lat. c/outro veíc. mov.
Santo Tirso,2010-08-16 19:45,1,0,Avenida Abel Alves Figueiredo s/n,,Colisão frontal
Santo Tirso,2010-07-07 08:35,1,0,EN105,"16,500",Colisão frontal
Santo Tirso,2010-07-15 08:00,0,1,R CAMILO CASTELO BRANCO 1202,,Colisão c/veic./obstá. f. rodagem
Santo Tirso,2010-06-22 16:45,0,1,R J. NARCISO MARTINS  COSTA 1020,,Despiste c/col. c/veíc. imobil./obst.
Santo Tirso,2010-06-29 10:00,1,0,R DA FUNDAÇÃO 28,,Atropelamento de peões
Santo Tirso,2010-10-09 20:30,0,2,VAR-EN104,,Colisão frontal
Santo Tirso,2010-08-13 15:30,0,1,R CENTRAL DE CABANAS 1431,,Colisão c/veic./obstá. f. rodagem
Santo Tirso,2010-08-13 19:30,0,1,EN207,"2,377",Despiste c/col. c/veíc. imobil./obst.
Santo Tirso,2010-11-22 23:45,1,0,Rua Dr. Eduardo Lima Carneiro s/n,,Colisão frontal
Santo Tirso,2010-11-27 14:35,1,0,Rua Dr. Alexandre Lima Carneiro 552,,Atropelamento de peões
Santo Tirso,2010-09-08 07:50,0,1,EN105,"19,700",Colisão frontal
Santo Tirso,2010-10-06 10:10,1,0,R JOSÉ LUÍS DE ANDRADE 12,,Atropelamento de peões
Santo Tirso,2010-05-16 01:00,0,1,Rua Padre Luís Gonzaga Pinheiro 446,,Despiste c/col. c/veíc. imobil./obst.
Santo Tirso,2010-01-23 22:10,0,1,EN105,"27,600",Atropelamento de peões
Trofa,2010-04-15 10:00,0,1,R LIBERDADE 23,,Despiste c/col. c/veíc. imobil./obst.
Trofa,2010-07-13 01:30,0,1,A3,"12,725",Atropelamento de peões
Trofa,2010-12-11 03:30,0,1,A3,"17,250",Colisão com outras situações
Trofa,2010-10-05 15:52,0,1,A3,"16,800",Colisão tras. c/ outro veíc. mov.
Trofa,2010-06-18 07:55,1,0,EN104,"14,100",Atropelamento de peões
Valongo,2010-11-14 08:50,1,0,A4,"14,837",Desp. c/transp.disp. ret. lateral
Valongo,2010-10-01 08:20,0,1,A42,"1,250",Colisão tras. c/ outro veíc. mov.
Valongo,2010-12-17 17:55,0,1,EN209,"19,400",Atropelamento de peões
