Concelho,Datahora,M,FG,Via,Km,Natureza
Silves,10-11-2011 13:05,0,1,EN124,,"32,090",Colisão com outras situações
Silves,07-02-2011 18:40,1,0,EN125,,"62,800",Atropelamento de peões
Silves,22-02-2011 20:00,0,1,EN264,,"95,850",Atropelamento de peões
Silves,08-07-2011 13:15,0,1,EN264,,-,Atropelamento de peões
Silves,03-12-2011 15:45,0,1,EN269,,"15,200",Despiste com capotamento
Silves,19-05-2011 04:40,1,0,IC1,,"697,500",Despiste com transposição do dispositivo...
Silves,09-10-2011 17:45,1,0,IC1,,"698,000",Despiste sem dispositivo de retenção
Silves,29-11-2011 18:50,0,1,IC1,,"707,300",Despiste simples
Silves,20-11-2011 21:20,1,0,IC1,,"719,800",Atropelamento de peões
Silves,15-07-2011 19:07,0,2,IC1,,"723,880",Colisão traseira com outro veículo em m...
Silves,26-11-2011 23:20,0,1,IC1,,"729,400",Colisão frontal
Silves,03-07-2011 17:15,0,1,R 1o DE MAIO - TU...,,-,Colisão lateral com outro veículo em mov...
Silves,26-09-2011 17:15,0,1,R DO POÇO,,-,Colisão frontal
Silves,10-09-2011 16:00,0,1,R DR ATAIDE OLIV...,,-,Despiste com colisão com veículo imobil. ...
Silves,13-09-2011 08:20,1,0,R JOSE FRANCISC...,,-,Atropelamento de peões
Silves,14-02-2011 10:05,1,0,SITIO DO MALHÃO...,,-,Despiste com capotamento
Tavira,18-11-2011 11:10,0,1,-,,-,Despiste com capotamento
Tavira,23-04-2011 08:00,1,0,A22,,"107,600",Despiste com transposição do dispositivo...
Tavira,23-07-2011 10:00,0,1,Avenida Dom Man...,,-,Atropelamento de peões
Tavira,08-06-2011 22:50,0,1,EN125,,"134,200",Colisão frontal
Tavira,26-06-2011 17:50,0,2,EN125,,"136,700",Colisão frontal
Tavira,22-09-2011 20:10,2,1,EN125,,-,Atropelamento de peões
Tavira,15-05-2011 18:10,0,1,EN270,,"0,061",Despiste simples
Tavira,09-10-2011 14:40,0,1,Rua Fumeiros de T...,,-,Despiste com colisão com veículo imobil. ...
Vila do Bispo,13-08-2011 03:40,0,2,-,,-,Despiste com capotamento
Vila do Bispo,23-11-2011 18:00,0,1,CAMINHO TERRA ...,,-,Colisão com fuga
Vila do Bispo,10-09-2011 14:10,0,1,EN125,,"9,800",Colisão lateral com outro veículo em mov...
Vila do Bispo,22-04-2011 18:00,1,0,EN268,,"2,400",Colisão frontal
Vila do Bispo,04-07-2011 11:15,0,1,EN268,,-,Colisão frontal
Vila Real de Santo Antonio,20-05-2011 21:45,0,4,AV INFANTE D HE...,,-,Colisão traseira com outro veículo em m...
Vila Real de Santo Antonio,24-04-2011 05:30,0,2,EM511,,-,Despiste com capotamento
Vila Real de Santo Antonio,30-12-2011 12:10,1,0,EN125,,"154,500",Colisão frontal
Vila Real de Santo Antonio,19-11-2011 15:00,0,1,Rua Professor Egas...,,-,Atropelamento de peões
"",-,-,-,-,,-,-
