Concelho,Datahora,M*,FG*,,Via,km,Natureza
Guimarães,2009:05:18 20:00:00,0,1,R ENG DUARTE AMARAL,,Despiste com capotamento
Guimarães,2009:01:08 03:20:00,0,1,EN206,"37,500",Colisão lat. c/outro veíc. mov.
Guimarães,2009:08:05 18:30:00,0,1,A7,"43,130",Despiste simples
"",,,,R NOSSA SRA PENHA C/,,
Guimarães,2009:03:25 11:20:00,0,1,,,Colisão lat. c/outro veíc. mov.
"",,,,IMACULADO CORACAO MARIA,,
"",,,,R NOSSA SENHORA DA,,
Guimarães,2009:02:01 04:20:00,0,1,,,Atropelamento de peões
"",,,,CONCEICAO,,
Guimarães,2009:12:09 11:30:00,0,1,R DE STA EULALIA,,Despiste simples
Guimarães,2009:07:15 12:45:00,0,1,Rua Moura Machado,,Colisão lat. c/outro veíc. mov.
Guimarães,2009:02:27 19:40:00,0,1,R S TORCATO,,Despiste simples
Guimarães,2009:06:16 07:40:00,0,1,EN101,"106,550",Colisão tras. c/ outro veíc. mov.
Guimarães,2009:10:20 10:00:00,0,1,R S PAIO,,Despiste com capotamento
"",,,,,,Colisão com veiculo ou obstáculo
Guimarães,2009:04:01 20:40:00,1,3,EN105,"37,600",
"",,,,,,na faixa de rodagem
Guimarães,2009:03:24 08:25:00,0,1,R NUNO ALVARES PEREIRA,,Atropelamento de peões
Guimarães,2009:09:03 17:25:00,0,1,R STA EULALIA,,Despiste c/ disp. retenção
Guimarães,2009:05:04 13:10:00,1,2,CIRGUIMARA,,Colisão com outras situações
Guimarães,2009:08:11 21:00:00,0,3,EN101,"112,200",Colisão lat. c/outro veíc. mov.
P. Lanhoso,2009:03:10 22:45:00,0,1,EN103,"46,800",Colisão com outras situações
P. Lanhoso,2009:06:05 16:40:00,1,0,EN103,"5,100",Atropelamento de peões
P. Lanhoso,2009:03:05 13:30:00,0,2,EN103,"52,520",Colisão frontal
P. Lanhoso,2009:06:04 21:00:00,0,1,EN103,"57,450",Despiste s/ disp. retenção
T. Bouro,2009:04:07 18:50:00,1,0,EM1149,,Despiste com capotamento
T. Bouro,2009:07:08 08:50:00,0,1,EN205-3,"9,350",Colisão lat. c/outro veíc. mov.
T. Bouro,2009:06:02 15:40:00,0,1,EN307,"36,600",Colisão frontal
Vieira do Minho,2009:09:12 16:30:00,1,0,EN103,"66,340",Atropelamento de peões
Vieira do Minho,2009:11:16 17:00:00,0,1,EM526,,Colisão lat. c/outro veíc. mov.
Vieira do Minho,2009:04:10 17:40:00,0,1,EN304,"86,100",Colisão lat. c/outro veíc. mov.
Vieira do Minho,2009:12:16 04:10:00,0,1,EM595,,Atropelamento de peões
Vieira do Minho,2009:08:21 14:35:00,1,0,EM1392,,Despiste simples
Vieira do Minho,2009:12:03 17:30:00,2,0,EN304,"85,200",Despiste com capotamento
V. N. Famalicão,2009:12:12 07:15:00,0,2,EN206,"27,300",Despiste s/ disp. retenção
V. N. Famalicão,2009:08:15 18:10:00,0,1,EN14,"21,200",Atropelamento de peões
V. N. Famalicão,2009:02:15 22:20:00,0,1,EN204-5,"4,800",Atropelamento de peões
V. N. Famalicão,2009:07:14 10:45:00,1,0,EN204,"41,000",Atropelamento de peões
V. N. Famalicão,2009:06:07 15:10:00,1,0,EN310,,"32,700",Colisão frontal
V. N. Famalicão,2009:02:26 10:45:00,0,1,VIM,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2009:01:30 19:40:00,1,0,VAR-NASCEN,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2009:04:10 09:15:00,0,1,AV FONTE COVA,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2009:10:17 19:30:00,1,0,A7,,"25,332",Colisão tras. c/ outro veíc. mov.
V. N. Famalicão,2009:07:27 15:30:00,0,1,R DR ALBERTO SAMPAIO,,,Atropelamento de peões
V. N. Famalicão,2009:07:01 17:00:00,1,1,,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2009:12:06 21:30:00,0,2,AV D AFONSO HENRIQUES,,,Colisão lat. c/outro veíc. mov.
V. N. Famalicão,2009:12:10 11:45:00,0,1,EN14,,"33,600",Colisão frontal
V. N. Famalicão,2009:05:09 15:20:00,2,0,Avenida do Brasil,,,Despiste com capotamento
V. N. Famalicão,2009:12:23 23:10:00,0,1,R LEVANDEIRA,,,Atropelamento de peões
V. N. Famalicão,2009:04:05 04:30:00,0,1,EN14,,"20,900",Atropelamento de peões
V. N. Famalicão,2009:03:07 19:05:00,0,1,R CENTRAL CEREJEIRA,,,Atropelamento de peões
V. N. Famalicão,2009:02:26 18:30:00,0,1,EN14,,"36,600",Colisão frontal
V. N. Famalicão,2009:03:24 15:20:00,0,1,EN204-5,,"5,000",Atropelamento de peões
Vila Verde,2009:02:24 15:45:00,0,2,EN308,,"36,000",Colisão frontal
Vila Verde,2009:08:02 19:50:00,0,1,EN205,,"36,950",Colisão lat. c/outro veíc. mov.
Vila Verde,2009:04:30 22:50:00,0,1,,,,Colisão com fuga
Vila Verde,2009:11:08 21:40:00,1,0,EN201,,"49,800",Colisão frontal
Vila Verde,2009:12:06 22:30:00,0,1,EN201,,"53,630",Colisão tras. c/ outro veíc. mov.
Vila Verde,2009:11:09 13:17:00,0,4,EN101,,"74,700",Despiste com capotamento
Vila Verde,2009:03:19 05:45:00,1,0,EM537,,,Colisão frontal
