Concelho,Datahora,M,FG,,Via,Km,Natureza
Tomar,25-12-2011 04:00,1,0,EM534,,-,Despiste simples
Tomar,04-05-2011 19:45,1,0,EN110,,"84,800",Colisão lateral com outro veículo em mov...
Tomar,31-12-2011 19:40,1,0,EN110,,"107,000",Atropelamento de peões
Tomar,28-04-2011 23:30,0,1,EN110,,-,Despiste com colisão com veículo imobil. ...
Tomar,01-10-2011 19:40,0,3,EN358,,"14,400",Colisão frontal
Tomar,28-05-2011 10:40,1,0,IC3,,"91,000",Despiste com capotamento
Tomar,16-04-2011 20:15,0,1,IC3,,"105,600",Despiste simples
Tomar,20-12-2011 17:00,0,2,IC9,,"66,930",Despiste com capotamento
Tomar,01-10-2011 19:00,0,1,R VALE DA CABAÇA,,-,Despiste simples
Tomar,10-06-2011 10:45,0,1,Rua Cadeira D' El ...,,-,Colisão frontal
Tomar,04-09-2011 05:30,2,2,Rua de Tomar 60,,-,Despiste com colisão com veículo imobil. ...
Tomar,04-01-2011 18:30,0,1,Rua Dom Lopo Dia...,,-,Atropelamento de peões
Torres Novas,20-04-2011 14:30,0,1,-,,-,Colisão lateral com outro veículo em mov...
Torres Novas,22-12-2011 14:50,0,1,-,,-,Colisão traseira com outro veículo em m...
Torres Novas,05-08-2011 14:30,0,1,Avenida Doutor Jo...,,-,Atropelamento de peões
Torres Novas,03-08-2011 11:05,1,0,Estrada da Sapeira...,,-,Despiste com colisão com veículo imobil. ...
Torres Novas,01-05-2011 10:30,0,1,R DA SAUDADE - L...,,-,Despiste simples
Torres Novas,24-12-2011 03:40,0,1,Via João Paulo II .,,-,Despiste sem dispositivo de retenção
Vila Nova da Barquinha,13-11-2011 05:45,0,1,EN3,,"85,200",Colisão com fuga
Vila Nova da Barquinha,25-08-2011 19:18,0,1,R D MARIA II 110,,-,Colisão frontal
Vila Nova da Barquinha,09-06-2011 14:20,0,1,R D MARIA II 21,,-,Atropelamento de peões
"",-,-,-,-,,-,-
