Concelho,Datahora,M*,FG*,,Via,km,Natureza
Almada,2012:02:28 03:45:00,0,2,A2,,"5,650",Despiste s/ dispositivo de retenção
Almada,2012:04:19 09:30:00,0,1,EN377-1,,,Colisão tras. c/ outro veíc. mov.
Almada,2012:04:19 11:10:00,0,1,R. Horácio Silva Louro,,,Despiste simples
Almada,2012:06:26 15:20:00,0,1,R ALFREDO CUNHA,,,Colisão tras. c/ outro veíc. mov.
Almada,2012:06:30 10:55:00,0,1,IC20,,"3,400",Colisão tras. c/ outro veíc. mov.
Almada,2012:07:15 01:35:00,1,0,Rua Vera Cruz,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Almada,2012:07:17 17:10:00,0,1,Via Panor. Pablo Neruda,,,Colisão frontal
Almada,2012:07:26 19:00:00,0,1,Avenida Aliança Povo Mfa,,,C  o  l i s  ã  ola  t .  c  /  o  u  t r ov  e  í c  u  l omo  v .
Almada,2012:07:28 17:20:00,0,1,Ava do Mar,,,Colisão lat. c/ outro veículo mov.
Almada,2012:08:05 07:00:00,1,2,Rua Venceslau de Morais,,,Despiste c/col. c/veíc. imobil./obst.
Almada,2012:08:07 00:40:00,1,0,IC20,,"1,700",Atropelamento de peões
Almada,2012:08:26 17:30:00,1,0,Rua Don João V,,,Colisão frontal
Almada,2012:10:16 05:15:00,1,0,A2,,"6,550",Atropelamento de peões
Almada,2012:10:16 16:45:00,0,1,Av. Rainha Dona Leonor,,,Co  l is  ã  oc  o  mo  u  t r a  ss  i t u  a  ç õ  e  s
Almada,2012:10:20 10:30:00,0,1,Rua da Granja,,,Atropelamento de peões
Almada,2012:11:18 14:00:00,0,2,EN10-1,,"6,100",Despiste c/col. c/veíc. imobil./obst.
Almada,2012:12:01 17:55:00,0,1,Rua dos Três Vales,,,Atropelamento de peões
"",,,,R. Hermínia Silva (junto ao,,,
Almada,2012:12:18 15:20:00,1,0,,,,Atropelamento com fuga
"",,,,Centro Paroquial),,,
Barreiro,2012:02:13 18:50:00,0,1,EM510,,,Atropelamento de peões
Barreiro,2012:02:28 21:00:00,0,1,R SERRA DA ARRABIDA,,,Despiste simples
"",,,,Av. Mestre Manuel Santos,,,
Barreiro,2012:03:04 00:40:00,1,0,,,,Despiste c/ dispositivo de retenção
"",,,,Cabanas(Junto B. GALP),,,
